ModelGeography,SubGeography1,SubGeography2,Year,ServiceTech,NumInstances
INDIA,SR,AP,2014,2W_MS,7221641
INDIA,SR,AP,2014,2W_E,7221641
INDIA,SR,AP,2015,2W_MS,7790801
INDIA,SR,AP,2015,2W_E,7790801
INDIA,SR,AP,2016,2W_MS,8368859
INDIA,SR,AP,2016,2W_E,8368859
INDIA,SR,AP,2017,2W_MS,8991401
INDIA,SR,AP,2017,2W_E,8991401
INDIA,SR,AP,2018,2W_MS,9720941
INDIA,SR,AP,2018,2W_E,9720941
INDIA,SR,AP,2019,2W_MS,10413231
INDIA,SR,AP,2019,2W_E,10413231
INDIA,SR,AP,2020,2W_MS,11032838
INDIA,SR,AP,2020,2W_E,11032838
INDIA,SR,AP,2021,2W_MS,11267740
INDIA,SR,AP,2021,2W_E,11267740
INDIA,SR,AP,2022,2W_MS,11605090
INDIA,SR,AP,2022,2W_E,11605090
INDIA,SR,AP,2023,2W_MS,12170123
INDIA,SR,AP,2023,2W_E,12170123
INDIA,SR,AP,2024,2W_MS,12927209
INDIA,SR,AP,2024,2W_E,12927209
INDIA,SR,AP,2025,2W_MS,13731392
INDIA,SR,AP,2025,2W_E,13731392
INDIA,SR,AP,2026,2W_MS,14585603
INDIA,SR,AP,2026,2W_E,14585603
INDIA,SR,AP,2027,2W_MS,15492952
INDIA,SR,AP,2027,2W_E,15492952
INDIA,SR,AP,2028,2W_MS,16456747
INDIA,SR,AP,2028,2W_E,16456747
INDIA,SR,AP,2029,2W_MS,17480498
INDIA,SR,AP,2029,2W_E,17480498
INDIA,SR,AP,2030,2W_MS,18567935
INDIA,SR,AP,2030,2W_E,18567935
INDIA,SR,AP,2031,2W_MS,19723020
INDIA,SR,AP,2031,2W_E,19723020
INDIA,SR,AP,2032,2W_MS,20949960
INDIA,SR,AP,2032,2W_E,20949960
INDIA,SR,AP,2033,2W_MS,22253227
INDIA,SR,AP,2033,2W_E,22253227
INDIA,SR,AP,2034,2W_MS,23637569
INDIA,SR,AP,2034,2W_E,23637569
INDIA,SR,AP,2035,2W_MS,25108028
INDIA,SR,AP,2035,2W_E,25108028
INDIA,SR,AP,2036,2W_MS,26669964
INDIA,SR,AP,2036,2W_E,26669964
INDIA,SR,AP,2037,2W_MS,28329063
INDIA,SR,AP,2037,2W_E,28329063
INDIA,SR,AP,2038,2W_MS,30091374
INDIA,SR,AP,2038,2W_E,30091374
INDIA,SR,AP,2039,2W_MS,31963316
INDIA,SR,AP,2039,2W_E,31963316
INDIA,SR,AP,2040,2W_MS,33951708
INDIA,SR,AP,2040,2W_E,33951708
INDIA,SR,AP,2041,2W_MS,36063796
INDIA,SR,AP,2041,2W_E,36063796
INDIA,NER,AS,2014,2W_MS,988740
INDIA,NER,AS,2014,2W_E,988740
INDIA,NER,AS,2015,2W_MS,1136668
INDIA,NER,AS,2015,2W_E,1136668
INDIA,NER,AS,2016,2W_MS,1313933
INDIA,NER,AS,2016,2W_E,1313933
INDIA,NER,AS,2017,2W_MS,1521098
INDIA,NER,AS,2017,2W_E,1521098
INDIA,NER,AS,2018,2W_MS,1807487
INDIA,NER,AS,2018,2W_E,1807487
INDIA,NER,AS,2019,2W_MS,2140796
INDIA,NER,AS,2019,2W_E,2140796
INDIA,NER,AS,2020,2W_MS,2472420
INDIA,NER,AS,2020,2W_E,2472420
