ModelGeography,SubGeography1,SubGeography2,Year,ServiceTech,NumInstances
INDIA,SR,AP,2014,2W_MS,7221641
INDIA,SR,AP,2014,2W_E,7221641
INDIA,SR,AP,2015,2W_MS,7790801
INDIA,SR,AP,2015,2W_E,7790801
INDIA,SR,AP,2016,2W_MS,8368859
INDIA,SR,AP,2016,2W_E,8368859
INDIA,SR,AP,2017,2W_MS,8991401
INDIA,SR,AP,2017,2W_E,8991401
INDIA,SR,AP,2018,2W_MS,9720941
INDIA,SR,AP,2018,2W_E,9720941
INDIA,SR,AP,2019,2W_MS,10413231
INDIA,SR,AP,2019,2W_E,10413231
INDIA,SR,AP,2020,2W_MS,11032838
INDIA,SR,AP,2020,2W_E,11032838
INDIA,SR,AP,2021,2W_MS,11267740
INDIA,SR,AP,2021,2W_E,11267740
INDIA,SR,AP,2022,2W_MS,11605090
INDIA,SR,AP,2022,2W_E,11605090
INDIA,SR,AP,2023,2W_MS,12170123
INDIA,SR,AP,2023,2W_E,12170123
INDIA,SR,AP,2024,2W_MS,12927209
INDIA,SR,AP,2024,2W_E,12927209
INDIA,SR,AP,2025,2W_MS,13446209
INDIA,SR,AP,2025,2W_E,13446209
INDIA,SR,AP,2026,2W_MS,14165564
INDIA,SR,AP,2026,2W_E,14165564
INDIA,SR,AP,2027,2W_MS,14917849
INDIA,SR,AP,2027,2W_E,14917849
INDIA,SR,AP,2028,2W_MS,15703297
INDIA,SR,AP,2028,2W_E,15703297
INDIA,SR,AP,2029,2W_MS,16521800
INDIA,SR,AP,2029,2W_E,16521800
INDIA,SR,AP,2030,2W_MS,17372811
INDIA,SR,AP,2030,2W_E,17372811
INDIA,SR,AP,2031,2W_MS,18255229
INDIA,SR,AP,2031,2W_E,18255229
INDIA,SR,AP,2032,2W_MS,19167248
INDIA,SR,AP,2032,2W_E,19167248
INDIA,SR,AP,2033,2W_MS,20106181
INDIA,SR,AP,2033,2W_E,20106181
INDIA,SR,AP,2034,2W_MS,21068234
INDIA,SR,AP,2034,2W_E,21068234
INDIA,SR,AP,2035,2W_MS,22048241
INDIA,SR,AP,2035,2W_E,22048241
INDIA,SR,AP,2036,2W_MS,23039326
INDIA,SR,AP,2036,2W_E,23039326
INDIA,SR,AP,2037,2W_MS,24032501
INDIA,SR,AP,2037,2W_E,24032501
INDIA,SR,AP,2038,2W_MS,25016166
INDIA,SR,AP,2038,2W_E,25016166
INDIA,SR,AP,2039,2W_MS,25975500
INDIA,SR,AP,2039,2W_E,25975500
INDIA,SR,AP,2040,2W_MS,26891714
INDIA,SR,AP,2040,2W_E,26891714
INDIA,SR,AP,2041,2W_MS,27741149
INDIA,SR,AP,2041,2W_E,27741149
INDIA,NER,AS,2014,2W_MS,988740
INDIA,NER,AS,2014,2W_E,988740
INDIA,NER,AS,2015,2W_MS,1136668
INDIA,NER,AS,2015,2W_E,1136668
INDIA,NER,AS,2016,2W_MS,1313933
INDIA,NER,AS,2016,2W_E,1313933
INDIA,NER,AS,2017,2W_MS,1521098
INDIA,NER,AS,2017,2W_E,1521098
INDIA,NER,AS,2018,2W_MS,1807487
INDIA,NER,AS,2018,2W_E,1807487
INDIA,NER,AS,2019,2W_MS,2140796
INDIA,NER,AS,2019,2W_E,2140796
INDIA,NER,AS,2020,2W_MS,2472420
INDIA,NER,AS,2020,2W_E,2472420
