InstYear,EnergyConvTechFiltered,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,ECTInputDom
2020,EG_COAL,2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,0.07112427327453208
2020,EG_COAL,2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,0.10054848971178652
2020,EG_COAL,2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,0.0004989035330394454
2020,EG_COAL,2021,SUMMER,ALLDAYS,MORN,INDIA,ER,0.07112427327453208
2020,EG_COAL,2021,SUMMER,ALLDAYS,MORN,INDIA,WR,0.15268561943983217
2020,EG_COAL,2021,SUMMER,ALLDAYS,MORN,INDIA,NR,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,MORN,INDIA,SR,0.0770223353478993
2020,EG_COAL,2021,SUMMER,ALLDAYS,MORN,INDIA,NER,0.0009727234732188072
2020,EG_COAL,2021,SUMMER,ALLDAYS,MID,INDIA,ER,0.07112427327453208
2020,EG_COAL,2021,SUMMER,ALLDAYS,MID,INDIA,WR,0.11260577677411611
2020,EG_COAL,2021,SUMMER,ALLDAYS,MID,INDIA,NR,0.05938904654076237
2020,EG_COAL,2021,SUMMER,ALLDAYS,MID,INDIA,SR,0.0770223353478993
2020,EG_COAL,2021,SUMMER,ALLDAYS,MID,INDIA,NER,0.001342489830508191
2020,EG_COAL,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,0.07112427327453208
2020,EG_COAL,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,0.0956281504787215
2020,EG_COAL,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,0.012558279254816868
2020,EG_COAL,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,0.001342489830508191
2020,EG_COAL,2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,0.09483236436604278
2020,EG_COAL,2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,0.21108756201885595
2020,EG_COAL,2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,0.09626416599243592
2020,EG_COAL,2021,SUMMER,ALLDAYS,EVENING,INDIA,SR,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,EVENING,INDIA,NER,0.001789986440677588
2020,EG_COAL,2021,SUMMER,ALLDAYS,NIGHT,INDIA,ER,0.18966472873208556
2020,EG_COAL,2021,SUMMER,ALLDAYS,NIGHT,INDIA,WR,0.21634417904538947
