ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Penetration
RURAL,Q1,INDIA,NR,DL,2022,0
RURAL,Q1,INDIA,NR,DL,2023,0
RURAL,Q1,INDIA,NR,DL,2024,0
RURAL,Q1,INDIA,NR,DL,2025,0
URBAN,Q1,INDIA,WR,GA,2025,0
URBAN,Q1,INDIA,NR,JK,2026,0
RURAL,Q1,INDIA,NR,DL,2026,0
URBAN,Q1,INDIA,WR,GA,2026,0
URBAN,Q1,INDIA,NR,JK,2027,0
RURAL,Q1,INDIA,NR,DL,2027,0
URBAN,Q1,INDIA,WR,GA,2027,0
URBAN,Q1,INDIA,NR,JK,2028,0
RURAL,Q1,INDIA,WR,UT,2028,0
RURAL,Q1,INDIA,NR,DL,2028,0
URBAN,Q1,INDIA,WR,GA,2028,0
URBAN,Q1,INDIA,NR,JK,2029,0
RURAL,Q1,INDIA,WR,UT,2029,0
RURAL,Q1,INDIA,NR,DL,2029,0
RURAL,Q1,INDIA,SR,AP,2029,0
URBAN,Q1,INDIA,WR,GA,2029,0
URBAN,Q1,INDIA,SR,TS,2029,0
URBAN,Q1,INDIA,NR,JK,2030,0
RURAL,Q1,INDIA,WR,UT,2030,0
RURAL,Q1,INDIA,NR,DL,2030,0
RURAL,Q1,INDIA,SR,AP,2030,0
URBAN,Q1,INDIA,SR,KA,2030,0
URBAN,Q1,INDIA,WR,GA,2030,0
URBAN,Q1,INDIA,SR,TS,2030,0
URBAN,Q1,INDIA,NR,JK,2031,0
RURAL,Q1,INDIA,WR,UT,2031,0
RURAL,Q1,INDIA,NR,DL,2031,0
URBAN,Q1,INDIA,NR,RJ,2031,0
RURAL,Q1,INDIA,SR,AP,2031,0
URBAN,Q1,INDIA,SR,KA,2031,0
URBAN,Q1,INDIA,WR,GA,2031,0
RURAL,Q1,INDIA,SR,TS,2031,0
URBAN,Q1,INDIA,SR,TS,2031,0
URBAN,Q2,INDIA,WR,UT,2022,0
RURAL,Q2,INDIA,NR,DL,2022,0
URBAN,Q2,INDIA,WR,UT,2023,0
RURAL,Q2,INDIA,NR,DL,2023,0
URBAN,Q2,INDIA,WR,UT,2024,0
RURAL,Q2,INDIA,NR,DL,2024,0
URBAN,Q2,INDIA,WR,GA,2024,0
URBAN,Q2,INDIA,WR,UT,2025,0
URBAN,Q2,INDIA,NR,UK,2025,0
RURAL,Q2,INDIA,NR,DL,2025,0
URBAN,Q2,INDIA,WR,GA,2025,0
URBAN,Q2,INDIA,NR,JK,2026,0
URBAN,Q2,INDIA,WR,UT,2026,0
URBAN,Q2,INDIA,NR,UK,2026,0
RURAL,Q2,INDIA,NR,DL,2026,0
URBAN,Q2,INDIA,WR,GA,2026,0
URBAN,Q2,INDIA,NR,JK,2027,0
URBAN,Q2,INDIA,WR,UT,2027,0
URBAN,Q2,INDIA,NR,UK,2027,0
RURAL,Q2,INDIA,NR,DL,2027,0
URBAN,Q2,INDIA,WR,GA,2027,0
URBAN,Q2,INDIA,SR,TS,2027,0
URBAN,Q2,INDIA,NR,JK,2028,0
RURAL,Q2,INDIA,WR,UT,2028,0
URBAN,Q2,INDIA,WR,UT,2028,0
URBAN,Q2,INDIA,NR,UK,2028,0
RURAL,Q2,INDIA,NR,DL,2028,0
RURAL,Q2,INDIA,SR,AP,2028,0
URBAN,Q2,INDIA,WR,GA,2028,0
RURAL,Q2,INDIA,SR,TN,2028,0
URBAN,Q2,INDIA,SR,TS,2028,0
URBAN,Q2,INDIA,NR,JK,2029,0
RURAL,Q2,INDIA,WR,UT,2029,0
URBAN,Q2,INDIA,WR,UT,2029,0
URBAN,Q2,INDIA,NR,UK,2029,0
RURAL,Q2,INDIA,NR,DL,2029,0
URBAN,Q2,INDIA,ER,BR,2029,0
RURAL,Q2,INDIA,SR,AP,2029,0
URBAN,Q2,INDIA,SR,KA,2029,0
URBAN,Q2,INDIA,WR,GA,2029,0
RURAL,Q2,INDIA,SR,TN,2029,0
URBAN,Q2,INDIA,SR,TS,2029,0
