InstYear,EnergyStorTech,Year,ModelGeography,SubGeography1,StorFixedCost
2020,FOURHR_BATTERY,2021,INDIA,ER,2718.831979
2020,FOURHR_BATTERY,2021,INDIA,WR,2718.831979
2020,FOURHR_BATTERY,2021,INDIA,NR,2718.831979
2020,FOURHR_BATTERY,2021,INDIA,SR,2718.831979
2020,FOURHR_BATTERY,2021,INDIA,NER,2718.831979
2020,FOURHR_BATTERY,2022,INDIA,ER,2718.831979
2020,FOURHR_BATTERY,2022,INDIA,WR,2718.831979
2020,FOURHR_BATTERY,2022,INDIA,NR,2718.831979
2020,FOURHR_BATTERY,2022,INDIA,SR,2718.831979
2020,FOURHR_BATTERY,2022,INDIA,NER,2718.831979
2020,FOURHR_BATTERY,2023,INDIA,ER,2718.831979
2020,FOURHR_BATTERY,2023,INDIA,WR,2718.831979
2020,FOURHR_BATTERY,2023,INDIA,NR,2718.831979
2020,FOURHR_BATTERY,2023,INDIA,SR,2718.831979
2020,FOURHR_BATTERY,2023,INDIA,NER,2718.831979
2020,FOURHR_BATTERY,2024,INDIA,ER,2718.831979
2020,FOURHR_BATTERY,2024,INDIA,WR,2718.831979
2020,FOURHR_BATTERY,2024,INDIA,NR,2718.831979
2020,FOURHR_BATTERY,2024,INDIA,SR,2718.831979
2020,FOURHR_BATTERY,2024,INDIA,NER,2718.831979
2020,FOURHR_BATTERY,2025,INDIA,ER,2718.831979
2020,FOURHR_BATTERY,2025,INDIA,WR,2718.831979
2020,FOURHR_BATTERY,2025,INDIA,NR,2718.831979
2020,FOURHR_BATTERY,2025,INDIA,SR,2718.831979
2020,FOURHR_BATTERY,2025,INDIA,NER,2718.831979
2020,FOURHR_BATTERY,2026,INDIA,ER,2718.831979
2020,FOURHR_BATTERY,2026,INDIA,WR,2718.831979
2020,FOURHR_BATTERY,2026,INDIA,NR,2718.831979
2020,FOURHR_BATTERY,2026,INDIA,SR,2718.831979
2020,FOURHR_BATTERY,2026,INDIA,NER,2718.831979
2020,FOURHR_BATTERY,2027,INDIA,ER,2718.831979
