EnergyConvTech,InstYear,AuxCons
EG_COAL,2020,0.08
EG_COAL,2021,0.075
EG_COAL,2022,0.075
EG_COAL,2023,0.075
EG_COAL,2024,0.075
EG_COAL,2025,0.075
EG_COAL,2026,0.075
EG_COAL,2027,0.075
EG_COAL,2028,0.075
EG_COAL,2029,0.075
EG_COAL,2030,0.075
EG_COAL,2031,0.075
EG_CCGT,2020,0.0275
EG_CCGT,2021,0.0275
EG_CCGT,2022,0.0275
EG_CCGT,2023,0.0275
EG_CCGT,2024,0.0275
EG_CCGT,2025,0.0275
EG_CCGT,2026,0.0275
EG_CCGT,2027,0.0275
EG_CCGT,2028,0.0275
EG_CCGT,2029,0.0275
EG_CCGT,2030,0.0275
EG_CCGT,2031,0.0275
EG_OCGT,2020,0.01
EG_OCGT,2021,0.01
EG_OCGT,2022,0.01
EG_OCGT,2023,0.01
EG_OCGT,2024,0.01
EG_OCGT,2025,0.01
EG_OCGT,2026,0.01
EG_OCGT,2027,0.01
EG_OCGT,2028,0.01
EG_OCGT,2029,0.01
EG_OCGT,2030,0.01
EG_OCGT,2031,0.01
EG_PHWR,2020,0.1
EG_PHWR,2021,0.09
EG_PHWR,2022,0.09
EG_PHWR,2023,0.09
EG_PHWR,2024,0.09
EG_PHWR,2025,0.09
EG_PHWR,2026,0.09
EG_PHWR,2027,0.09
EG_PHWR,2028,0.09
EG_PHWR,2029,0.09
EG_PHWR,2030,0.09
EG_PHWR,2031,0.09
EG_LH,2020,0.01
EG_LH,2021,0.01
EG_LH,2022,0.01
EG_LH,2023,0.01
EG_LH,2024,0.01
EG_LH,2025,0.01
EG_LH,2026,0.01
EG_LH,2027,0.01
EG_LH,2028,0.01
EG_LH,2029,0.01
EG_LH,2030,0.01
EG_LH,2031,0.01
EG_SH,2020,0.01
EG_SH,2021,0.01
EG_SH,2022,0.01
EG_SH,2023,0.01
EG_SH,2024,0.01
EG_SH,2025,0.01
EG_SH,2026,0.01
EG_SH,2027,0.01
EG_SH,2028,0.01
EG_SH,2029,0.01
EG_SH,2030,0.01
EG_SH,2031,0.01
EG_BIOMASS,2020,0.1
EG_BIOMASS,2021,0.1
EG_BIOMASS,2022,0.1
EG_BIOMASS,2023,0.1
EG_BIOMASS,2024,0.1
EG_BIOMASS,2025,0.1
EG_BIOMASS,2026,0.1
EG_BIOMASS,2027,0.1
EG_BIOMASS,2028,0.1
EG_BIOMASS,2029,0.1
EG_BIOMASS,2030,0.1
EG_BIOMASS,2031,0.1
EG_SOLARPV,2020,0.0025
EG_SOLARPV,2021,0.0025
EG_SOLARPV,2022,0.0025
EG_SOLARPV,2023,0.0025
EG_SOLARPV,2024,0.0025
EG_SOLARPV,2025,0.0025
EG_SOLARPV,2026,0.0025
EG_SOLARPV,2027,0.0025
EG_SOLARPV,2028,0.0025
EG_SOLARPV,2029,0.0025
EG_SOLARPV,2030,0.0025
EG_SOLARPV,2031,0.0025
EG_WIND,2020,0.0
EG_WIND,2021,0.0
EG_WIND,2022,0.0
EG_WIND,2023,0.0
EG_WIND,2024,0.0
EG_WIND,2025,0.0
EG_WIND,2026,0.0
EG_WIND,2027,0.0
EG_WIND,2028,0.0
EG_WIND,2029,0.0
EG_WIND,2030,0.0
EG_WIND,2031,0.0
RF_MS,2020,0.082720488
RF_MS,2021,0.082720488
RF_MS,2022,0.082720488
RF_MS,2023,0.082720488
RF_MS,2024,0.082720488
RF_MS,2025,0.082720488
RF_MS,2026,0.082720488
RF_MS,2027,0.082720488
RF_MS,2028,0.082720488
RF_MS,2029,0.082720488
RF_MS,2030,0.082720488
RF_MS,2031,0.082720488
RF_HSD,2020,0.08265935
RF_HSD,2021,0.08265935
RF_HSD,2022,0.08265935
RF_HSD,2023,0.08265935
RF_HSD,2024,0.08265935
RF_HSD,2025,0.08265935
RF_HSD,2026,0.08265935
RF_HSD,2027,0.08265935
RF_HSD,2028,0.08265935
RF_HSD,2029,0.08265935
RF_HSD,2030,0.08265935
RF_HSD,2031,0.08265935
RF_ATF,2020,0.082896933
RF_ATF,2021,0.082896933
RF_ATF,2022,0.082896933
RF_ATF,2023,0.082896933
RF_ATF,2024,0.082896933
RF_ATF,2025,0.082896933
RF_ATF,2026,0.082896933
RF_ATF,2027,0.082896933
RF_ATF,2028,0.082896933
RF_ATF,2029,0.082896933
RF_ATF,2030,0.082896933
RF_ATF,2031,0.082896933
RF_LPG,2020,0.082687297
RF_LPG,2021,0.082687297
RF_LPG,2022,0.082687297
RF_LPG,2023,0.082687297
RF_LPG,2024,0.082687297
RF_LPG,2025,0.082687297
RF_LPG,2026,0.082687297
RF_LPG,2027,0.082687297
RF_LPG,2028,0.082687297
RF_LPG,2029,0.082687297
RF_LPG,2030,0.082687297
RF_LPG,2031,0.082687297
RF_OTHERPP,2020,0.082710354
RF_OTHERPP,2021,0.082710354
RF_OTHERPP,2022,0.082710354
RF_OTHERPP,2023,0.082710354
RF_OTHERPP,2024,0.082710354
RF_OTHERPP,2025,0.082710354
RF_OTHERPP,2026,0.082710354
RF_OTHERPP,2027,0.082710354
RF_OTHERPP,2028,0.082710354
RF_OTHERPP,2029,0.082710354
RF_OTHERPP,2030,0.082710354
RF_OTHERPP,2031,0.082710354
