Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,EnergyDemand
2021,INDIA,ER,BR,RURAL,Q1,0.0
2021,INDIA,ER,BR,RURAL,Q2,0.0
2021,INDIA,ER,BR,RURAL,Q3,0.0
2021,INDIA,ER,BR,RURAL,Q4,0.0
2021,INDIA,ER,BR,RURAL,Q5,0.0
2021,INDIA,ER,BR,URBAN,Q1,0.0
2021,INDIA,ER,BR,URBAN,Q2,0.0
2021,INDIA,ER,BR,URBAN,Q3,0.0
2021,INDIA,ER,BR,URBAN,Q4,0.0
2021,INDIA,ER,BR,URBAN,Q5,0.0
2021,INDIA,ER,JH,RURAL,Q1,0.0
2021,INDIA,ER,JH,RURAL,Q2,0.0
2021,INDIA,ER,JH,RURAL,Q3,0.0
2021,INDIA,ER,JH,RURAL,Q4,0.0
2021,INDIA,ER,JH,RURAL,Q5,0.0
2021,INDIA,ER,JH,URBAN,Q1,0.0
2021,INDIA,ER,JH,URBAN,Q2,0.0
2021,INDIA,ER,JH,URBAN,Q3,0.0
2021,INDIA,ER,JH,URBAN,Q4,0.0
2021,INDIA,ER,JH,URBAN,Q5,0.0
2021,INDIA,ER,OD,RURAL,Q1,0.0
2021,INDIA,ER,OD,RURAL,Q2,0.0
2021,INDIA,ER,OD,RURAL,Q3,0.0
2021,INDIA,ER,OD,RURAL,Q4,0.0
2021,INDIA,ER,OD,RURAL,Q5,0.0
2021,INDIA,ER,OD,URBAN,Q1,0.0
2021,INDIA,ER,OD,URBAN,Q2,0.0
2021,INDIA,ER,OD,URBAN,Q3,0.0
2021,INDIA,ER,OD,URBAN,Q4,0.0
2021,INDIA,ER,OD,URBAN,Q5,0.0
2021,INDIA,ER,WB,RURAL,Q1,0.0
2021,INDIA,ER,WB,RURAL,Q2,0.0
2021,INDIA,ER,WB,RURAL,Q3,0.0
2021,INDIA,ER,WB,RURAL,Q4,0.0
2021,INDIA,ER,WB,RURAL,Q5,0.0
2021,INDIA,ER,WB,URBAN,Q1,0.0
2021,INDIA,ER,WB,URBAN,Q2,0.0
2021,INDIA,ER,WB,URBAN,Q3,0.0
2021,INDIA,ER,WB,URBAN,Q4,0.0
2021,INDIA,ER,WB,URBAN,Q5,0.0
2021,INDIA,WR,CG,RURAL,Q1,0.0
2021,INDIA,WR,CG,RURAL,Q2,0.0
2021,INDIA,WR,CG,RURAL,Q3,0.0
2021,INDIA,WR,CG,RURAL,Q4,0.0
2021,INDIA,WR,CG,RURAL,Q5,0.0
2021,INDIA,WR,CG,URBAN,Q1,0.0
2021,INDIA,WR,CG,URBAN,Q2,0.0
2021,INDIA,WR,CG,URBAN,Q3,0.0
2021,INDIA,WR,CG,URBAN,Q4,0.0
2021,INDIA,WR,CG,URBAN,Q5,0.0
2021,INDIA,WR,GJ,RURAL,Q1,0.0090990544653403
2021,INDIA,WR,GJ,RURAL,Q2,0.0097847465067037
2021,INDIA,WR,GJ,RURAL,Q3,0.0094963110321046
2021,INDIA,WR,GJ,RURAL,Q4,0.0088916957842552
2021,INDIA,WR,GJ,RURAL,Q5,0.009423381773938
2021,INDIA,WR,GJ,URBAN,Q1,3.274612276690926
2021,INDIA,WR,GJ,URBAN,Q2,2.5363254434165894
2021,INDIA,WR,GJ,URBAN,Q3,2.32022978668609
2021,INDIA,WR,GJ,URBAN,Q4,1.7213238878256518
2021,INDIA,WR,GJ,URBAN,Q5,2.510741943144008
2021,INDIA,WR,MP,RURAL,Q1,0.0
2021,INDIA,WR,MP,RURAL,Q2,0.0
2021,INDIA,WR,MP,RURAL,Q3,0.0
2021,INDIA,WR,MP,RURAL,Q4,0.0
2021,INDIA,WR,MP,RURAL,Q5,0.0
2021,INDIA,WR,MP,URBAN,Q1,0.031962292013542
2021,INDIA,WR,MP,URBAN,Q2,0.0383975051024155
2021,INDIA,WR,MP,URBAN,Q3,0.0366889596968987
2021,INDIA,WR,MP,URBAN,Q4,0.027759763834679
2021,INDIA,WR,MP,URBAN,Q5,0.0230533638336652
2021,INDIA,WR,MH,RURAL,Q1,0.0
2021,INDIA,WR,MH,RURAL,Q2,0.0
2021,INDIA,WR,MH,RURAL,Q3,0.0
2021,INDIA,WR,MH,RURAL,Q4,0.0
2021,INDIA,WR,MH,RURAL,Q5,0.0
2021,INDIA,WR,MH,URBAN,Q1,2.02628983533998
2021,INDIA,WR,MH,URBAN,Q2,1.6581388249632023
2021,INDIA,WR,MH,URBAN,Q3,1.403535775020047
2021,INDIA,WR,MH,URBAN,Q4,1.1897768603272203
2021,INDIA,WR,MH,URBAN,Q5,1.0608304916951838
2021,INDIA,WR,GA,RURAL,Q1,0.0
2021,INDIA,WR,GA,RURAL,Q2,0.0
2021,INDIA,WR,GA,RURAL,Q3,0.0
2021,INDIA,WR,GA,RURAL,Q4,0.0
2021,INDIA,WR,GA,RURAL,Q5,0.0
2021,INDIA,WR,GA,URBAN,Q1,0.0
2021,INDIA,WR,GA,URBAN,Q2,0.0
2021,INDIA,WR,GA,URBAN,Q3,0.0
2021,INDIA,WR,GA,URBAN,Q4,0.0
2021,INDIA,WR,GA,URBAN,Q5,0.0
2021,INDIA,WR,UT,RURAL,Q1,0.0
2021,INDIA,WR,UT,RURAL,Q2,0.0
2021,INDIA,WR,UT,RURAL,Q3,0.0
2021,INDIA,WR,UT,RURAL,Q4,0.0
2021,INDIA,WR,UT,RURAL,Q5,0.0
2021,INDIA,WR,UT,URBAN,Q1,0.2857929747513658
2021,INDIA,WR,UT,URBAN,Q2,0.1795050531910935
2021,INDIA,WR,UT,URBAN,Q3,0.1520766454627013
2021,INDIA,WR,UT,URBAN,Q4,0.1485695874938628
2021,INDIA,WR,UT,URBAN,Q5,0.1349006084556707
2021,INDIA,NR,DL,RURAL,Q1,0.0
2021,INDIA,NR,DL,RURAL,Q2,0.0
2021,INDIA,NR,DL,RURAL,Q3,0.0
2021,INDIA,NR,DL,RURAL,Q4,0.0
2021,INDIA,NR,DL,RURAL,Q5,0.0
2021,INDIA,NR,DL,URBAN,Q1,1.994903921787324
2021,INDIA,NR,DL,URBAN,Q2,1.4936505015243744
2021,INDIA,NR,DL,URBAN,Q3,1.0249666738684262
2021,INDIA,NR,DL,URBAN,Q4,0.793151178813273
2021,INDIA,NR,DL,URBAN,Q5,1.1685936266122046
2021,INDIA,NR,HR,RURAL,Q1,0.0
2021,INDIA,NR,HR,RURAL,Q2,0.0
2021,INDIA,NR,HR,RURAL,Q3,0.0
2021,INDIA,NR,HR,RURAL,Q4,0.0
2021,INDIA,NR,HR,RURAL,Q5,0.0
2021,INDIA,NR,HR,URBAN,Q1,0.1204657338362197
2021,INDIA,NR,HR,URBAN,Q2,0.1192398583588996
2021,INDIA,NR,HR,URBAN,Q3,0.1227278596746734
2021,INDIA,NR,HR,URBAN,Q4,0.0976405731918753
2021,INDIA,NR,HR,URBAN,Q5,0.0901325488892614
2021,INDIA,NR,HP,RURAL,Q1,0.0
2021,INDIA,NR,HP,RURAL,Q2,0.0
2021,INDIA,NR,HP,RURAL,Q3,0.0
2021,INDIA,NR,HP,RURAL,Q4,0.0
2021,INDIA,NR,HP,RURAL,Q5,0.0
2021,INDIA,NR,HP,URBAN,Q1,0.0
2021,INDIA,NR,HP,URBAN,Q2,0.0
2021,INDIA,NR,HP,URBAN,Q3,0.0
2021,INDIA,NR,HP,URBAN,Q4,0.0
2021,INDIA,NR,HP,URBAN,Q5,0.0
2021,INDIA,NR,JK,RURAL,Q1,0.0
2021,INDIA,NR,JK,RURAL,Q2,0.0
