ModelGeography,Year,SubGeography1,SubGeography2,SECONDARY+PRIMARY
INDIA,2022,NR,DL,0
INDIA,2022,NR,HR,0
INDIA,2023,NR,DL,0
INDIA,2024,NR,DL,0
INDIA,2025,NR,DL,0
INDIA,2026,NR,DL,0
INDIA,2027,NR,DL,0
INDIA,2028,NR,DL,0
INDIA,2029,NR,DL,0
INDIA,2030,NR,DL,0
INDIA,2031,NR,DL,0
INDIA,2032,NR,DL,0
INDIA,2033,NR,DL,0
INDIA,2034,NR,DL,0
INDIA,2035,NR,DL,0
INDIA,2036,NR,DL,0
INDIA,2037,NR,DL,0
INDIA,2038,NR,DL,0
INDIA,2039,NR,DL,0
INDIA,2040,NR,DL,0
INDIA,2041,NR,DL,0
INDIA,2023,NR,HR,0
INDIA,2024,NR,HR,0
INDIA,2025,NR,HR,0
INDIA,2026,NR,HR,0
INDIA,2027,NR,HR,0
INDIA,2028,NR,HR,0
INDIA,2029,NR,HR,0
INDIA,2030,NR,HR,0
INDIA,2031,NR,HR,0
INDIA,2032,NR,HR,0
INDIA,2033,NR,HR,0
INDIA,2034,NR,HR,0
INDIA,2035,NR,HR,0
INDIA,2036,NR,HR,0
INDIA,2037,NR,HR,0
INDIA,2038,NR,HR,0
INDIA,2039,NR,HR,0
INDIA,2040,NR,HR,0
INDIA,2041,NR,HR,0
INDIA,2022,NR,HP,0
INDIA,2023,NR,HP,0
INDIA,2024,NR,HP,0
INDIA,2025,NR,HP,0
INDIA,2026,NR,HP,0
INDIA,2027,NR,HP,0
INDIA,2028,NR,HP,0
INDIA,2029,NR,HP,0
INDIA,2030,NR,HP,0
INDIA,2031,NR,HP,0
INDIA,2032,NR,HP,0
INDIA,2033,NR,HP,0
INDIA,2034,NR,HP,0
INDIA,2035,NR,HP,0
INDIA,2036,NR,HP,0
INDIA,2037,NR,HP,0
INDIA,2038,NR,HP,0
INDIA,2039,NR,HP,0
INDIA,2040,NR,HP,0
INDIA,2041,NR,HP,0
INDIA,2022,NR,JK,0
INDIA,2023,NR,JK,0
INDIA,2024,NR,JK,0
INDIA,2025,NR,JK,0
INDIA,2026,NR,JK,0
INDIA,2027,NR,JK,0
INDIA,2028,NR,JK,0
INDIA,2029,NR,JK,0
INDIA,2030,NR,JK,0
INDIA,2031,NR,JK,0
INDIA,2032,NR,JK,0
INDIA,2033,NR,JK,0
INDIA,2034,NR,JK,0
INDIA,2035,NR,JK,0
INDIA,2036,NR,JK,0
INDIA,2037,NR,JK,0
INDIA,2038,NR,JK,0
INDIA,2039,NR,JK,0
INDIA,2040,NR,JK,0
INDIA,2041,NR,JK,0
INDIA,2022,NR,PB,0
