EnergyService,ServiceTech,EnergyCarrier,Year,EmissionType,DomEmissionFactor,ImpEmissionFactor
CEMENT,OPC_CCUS,THERMAL_COAL,2022,GHG,187.1873679,198.218603
CEMENT,OPC_CCUS,THERMAL_COAL,2023,GHG,187.1873679,198.218603
CEMENT,OPC_CCUS,PETCOKE,2022,GHG,317.66475,317.66475
CEMENT,OPC_CCUS,PETCOKE,2023,GHG,317.66475,317.66475
CEMENT,OPC_CCUS,BIOMASS_WASTE,2022,GHG,129.2306701,129.2306701
CEMENT,OPC_CCUS,BIOMASS_WASTE,2023,GHG,129.2306701,129.2306701
CEMENT,PPC_CCUS,THERMAL_COAL,2022,GHG,187.1873679,198.218603
CEMENT,PPC_CCUS,PETCOKE,2022,GHG,317.66475,317.66475
CEMENT,PPC_CCUS,BIOMASS_WASTE,2022,GHG,129.2306701,129.2306701
CEMENT,PSC_CCUS,THERMAL_COAL,2022,GHG,187.1873679,198.218603
CEMENT,PSC_CCUS,PETCOKE,2022,GHG,317.66475,317.66475
CEMENT,PSC_CCUS,BIOMASS_WASTE,2022,GHG,129.2306701,129.2306701
CEMENT,PPC_CCUS,THERMAL_COAL,2023,GHG,187.1873679,198.218603
CEMENT,PPC_CCUS,PETCOKE,2023,GHG,317.66475,317.66475
CEMENT,PPC_CCUS,BIOMASS_WASTE,2023,GHG,129.2306701,129.2306701
CEMENT,PSC_CCUS,THERMAL_COAL,2023,GHG,187.1873679,198.218603
CEMENT,PSC_CCUS,PETCOKE,2023,GHG,317.66475,317.66475
CEMENT,PSC_CCUS,BIOMASS_WASTE,2023,GHG,129.2306701,129.2306701
CEMENT,OPC_CCUS,THERMAL_COAL,2024,GHG,187.1873679,198.218603
CEMENT,OPC_CCUS,PETCOKE,2024,GHG,317.66475,317.66475
CEMENT,OPC_CCUS,BIOMASS_WASTE,2024,GHG,129.2306701,129.2306701
CEMENT,PPC_CCUS,THERMAL_COAL,2024,GHG,187.1873679,198.218603
CEMENT,PPC_CCUS,PETCOKE,2024,GHG,317.66475,317.66475
CEMENT,PPC_CCUS,BIOMASS_WASTE,2024,GHG,129.2306701,129.2306701
CEMENT,PSC_CCUS,THERMAL_COAL,2024,GHG,187.1873679,198.218603
CEMENT,PSC_CCUS,PETCOKE,2024,GHG,317.66475,317.66475
CEMENT,PSC_CCUS,BIOMASS_WASTE,2024,GHG,129.2306701,129.2306701
CEMENT,OPC_CCUS,THERMAL_COAL,2025,GHG,187.1873679,198.218603
CEMENT,OPC_CCUS,PETCOKE,2025,GHG,317.66475,317.66475
CEMENT,OPC_CCUS,BIOMASS_WASTE,2025,GHG,129.2306701,129.2306701
CEMENT,PPC_CCUS,THERMAL_COAL,2025,GHG,187.1873679,198.218603
CEMENT,PPC_CCUS,PETCOKE,2025,GHG,317.66475,317.66475
CEMENT,PPC_CCUS,BIOMASS_WASTE,2025,GHG,129.2306701,129.2306701
CEMENT,PSC_CCUS,THERMAL_COAL,2025,GHG,187.1873679,198.218603
CEMENT,PSC_CCUS,PETCOKE,2025,GHG,317.66475,317.66475
CEMENT,PSC_CCUS,BIOMASS_WASTE,2025,GHG,129.2306701,129.2306701
CEMENT,OPC_CCUS,THERMAL_COAL,2026,GHG,187.1873679,198.218603
CEMENT,OPC_CCUS,PETCOKE,2026,GHG,317.66475,317.66475
CEMENT,OPC_CCUS,BIOMASS_WASTE,2026,GHG,129.2306701,129.2306701
CEMENT,PPC_CCUS,THERMAL_COAL,2026,GHG,187.1873679,198.218603
CEMENT,PPC_CCUS,PETCOKE,2026,GHG,317.66475,317.66475
CEMENT,PPC_CCUS,BIOMASS_WASTE,2026,GHG,129.2306701,129.2306701
CEMENT,PSC_CCUS,THERMAL_COAL,2026,GHG,187.1873679,198.218603
CEMENT,PSC_CCUS,PETCOKE,2026,GHG,317.66475,317.66475
CEMENT,PSC_CCUS,BIOMASS_WASTE,2026,GHG,129.2306701,129.2306701
CEMENT,OPC_CCUS,THERMAL_COAL,2027,GHG,187.1873679,198.218603
CEMENT,OPC_CCUS,PETCOKE,2027,GHG,317.66475,317.66475
CEMENT,OPC_CCUS,BIOMASS_WASTE,2027,GHG,129.2306701,129.2306701
CEMENT,PPC_CCUS,THERMAL_COAL,2027,GHG,187.1873679,198.218603
CEMENT,PPC_CCUS,PETCOKE,2027,GHG,317.66475,317.66475
CEMENT,PPC_CCUS,BIOMASS_WASTE,2027,GHG,129.2306701,129.2306701
CEMENT,PSC_CCUS,THERMAL_COAL,2027,GHG,187.1873679,198.218603
CEMENT,PSC_CCUS,PETCOKE,2027,GHG,317.66475,317.66475
CEMENT,PSC_CCUS,BIOMASS_WASTE,2027,GHG,129.2306701,129.2306701
CEMENT,OPC_CCUS,THERMAL_COAL,2028,GHG,187.1873679,198.218603
CEMENT,OPC_CCUS,PETCOKE,2028,GHG,317.66475,317.66475
CEMENT,OPC_CCUS,BIOMASS_WASTE,2028,GHG,129.2306701,129.2306701
CEMENT,PPC_CCUS,THERMAL_COAL,2028,GHG,187.1873679,198.218603
CEMENT,PPC_CCUS,PETCOKE,2028,GHG,317.66475,317.66475
CEMENT,PPC_CCUS,BIOMASS_WASTE,2028,GHG,129.2306701,129.2306701
CEMENT,PSC_CCUS,THERMAL_COAL,2028,GHG,187.1873679,198.218603
CEMENT,PSC_CCUS,PETCOKE,2028,GHG,317.66475,317.66475
CEMENT,PSC_CCUS,BIOMASS_WASTE,2028,GHG,129.2306701,129.2306701
CEMENT,OPC_CCUS,THERMAL_COAL,2029,GHG,187.1873679,198.218603
