EnergyConvTech,ModelGeography,SubGeography1,SubGeography2,Year,MaxCapacity,MinCapacity
EG_CCGT,INDIA,SR,AP,2021,0,0
EG_CCGT,INDIA,SR,AP,2022,0,0
EG_CCGT,INDIA,SR,AP,2023,0.157970682,0
EG_CCGT,INDIA,SR,AP,2024,0.157970682,0
EG_CCGT,INDIA,SR,AP,2025,0.157970682,0
EG_CCGT,INDIA,SR,AP,2026,0.157970682,0
EG_CCGT,INDIA,SR,AP,2027,0.157970682,0
EG_CCGT,INDIA,SR,AP,2028,0.157970682,0
EG_CCGT,INDIA,SR,AP,2029,0.157970682,0
EG_CCGT,INDIA,SR,AP,2030,0.157970682,0
EG_CCGT,INDIA,SR,AP,2031,0.157970682,0
EG_CCGT,INDIA,NER,AS,2021,0,0
EG_CCGT,INDIA,NER,AS,2022,0.056884948,0.03615
EG_CCGT,INDIA,NER,AS,2023,0.031387537,0
EG_CCGT,INDIA,NER,AS,2024,0.031387537,0
EG_CCGT,INDIA,NER,NE,2021,0,0
EG_CCGT,INDIA,NER,NE,2022,0,0
EG_CCGT,INDIA,NER,NE,2023,0.035080798,0
EG_CCGT,INDIA,NER,NE,2024,0.035080798,0
EG_CCGT,INDIA,NER,NE,2025,0.035080798,0
EG_CCGT,INDIA,NER,NE,2026,0.035080798,0
EG_CCGT,INDIA,NER,NE,2027,0.035080798,0
EG_CCGT,INDIA,NER,NE,2028,0.035080798,0
EG_CCGT,INDIA,NER,NE,2029,0.035080798,0
EG_CCGT,INDIA,NER,NE,2030,0.035080798,0
EG_CCGT,INDIA,NER,NE,2031,0.035080798,0
EG_CCGT,INDIA,NER,AS,2025,0.031387537,0
EG_CCGT,INDIA,NER,AS,2026,0.031387537,0
EG_CCGT,INDIA,NER,AS,2027,0.031387537,0
EG_CCGT,INDIA,NER,AS,2028,0.031387537,0
EG_CCGT,INDIA,NER,AS,2029,0.031387537,0
EG_CCGT,INDIA,NER,AS,2030,0.031387537,0
EG_CCGT,INDIA,NER,AS,2031,0.031387537,0
EG_CCGT,INDIA,ER,BR,2021,0,0
EG_CCGT,INDIA,ER,BR,2022,0,0
EG_CCGT,INDIA,ER,BR,2023,0.001287339,0
EG_CCGT,INDIA,ER,BR,2024,0.001287339,0
EG_CCGT,INDIA,ER,BR,2025,0.001287339,0
EG_CCGT,INDIA,ER,BR,2026,0.001287339,0
EG_CCGT,INDIA,ER,BR,2027,0.001287339,0
EG_CCGT,INDIA,ER,BR,2028,0.001287339,0
EG_CCGT,INDIA,ER,BR,2029,0.001287339,0
EG_CCGT,INDIA,ER,BR,2030,0.001287339,0
EG_CCGT,INDIA,ER,BR,2031,0.001287339,0
EG_CCGT,INDIA,WR,CG,2021,0,0
EG_CCGT,INDIA,WR,CG,2022,0,0
EG_CCGT,INDIA,WR,CG,2023,0.002834476,0
EG_CCGT,INDIA,WR,CG,2024,0.002834476,0
EG_CCGT,INDIA,WR,CG,2025,0.002834476,0
EG_CCGT,INDIA,WR,CG,2026,0.002834476,0
EG_CCGT,INDIA,WR,CG,2027,0.002834476,0
EG_CCGT,INDIA,WR,CG,2028,0.002834476,0
EG_CCGT,INDIA,WR,CG,2029,0.002834476,0
EG_CCGT,INDIA,WR,CG,2030,0.002834476,0
EG_CCGT,INDIA,WR,CG,2031,0.002834476,0
EG_CCGT,INDIA,WR,GA,2021,0,0
EG_CCGT,INDIA,WR,GA,2022,0,0
EG_CCGT,INDIA,WR,GA,2023,0.004068641,0
EG_CCGT,INDIA,WR,GA,2024,0.004068641,0
EG_CCGT,INDIA,WR,GA,2025,0.004068641,0
EG_CCGT,INDIA,WR,GA,2026,0.004068641,0
EG_CCGT,INDIA,WR,GA,2027,0.004068641,0
EG_CCGT,INDIA,WR,GA,2028,0.004068641,0
EG_CCGT,INDIA,WR,GA,2029,0.004068641,0
EG_CCGT,INDIA,WR,GA,2030,0.004068641,0
EG_CCGT,INDIA,WR,GA,2031,0.004068641,0
EG_CCGT,INDIA,WR,GJ,2021,0,0
EG_CCGT,INDIA,WR,GJ,2022,0,0
EG_CCGT,INDIA,WR,GJ,2023,0.325771734,0
EG_CCGT,INDIA,WR,GJ,2024,0.325771734,0
EG_CCGT,INDIA,WR,GJ,2025,0.325771734,0
EG_CCGT,INDIA,WR,GJ,2026,0.325771734,0
EG_CCGT,INDIA,WR,GJ,2027,0.325771734,0
EG_CCGT,INDIA,WR,GJ,2028,0.325771734,0
EG_CCGT,INDIA,WR,GJ,2029,0.325771734,0
EG_CCGT,INDIA,WR,GJ,2030,0.325771734,0
EG_CCGT,INDIA,WR,GJ,2031,0.325771734,0
EG_CCGT,INDIA,NR,HR,2021,0,0
EG_CCGT,INDIA,NR,HR,2022,0,0
EG_CCGT,INDIA,NR,HR,2023,0.028049981,0
EG_CCGT,INDIA,NR,HR,2024,0.028049981,0
EG_CCGT,INDIA,NR,HR,2025,0.028049981,0
EG_CCGT,INDIA,NR,HR,2026,0.028049981,0
EG_CCGT,INDIA,NR,HR,2027,0.028049981,0
EG_CCGT,INDIA,NR,HR,2028,0.028049981,0
EG_CCGT,INDIA,NR,HR,2029,0.028049981,0
EG_CCGT,INDIA,NR,HR,2030,0.028049981,0
EG_CCGT,INDIA,NR,HR,2031,0.028049981,0
EG_CCGT,INDIA,NR,HP,2021,0,0
EG_CCGT,INDIA,NR,HP,2022,0,0
EG_CCGT,INDIA,NR,HP,2023,0,0
EG_CCGT,INDIA,NR,HP,2024,0,0
EG_CCGT,INDIA,NR,HP,2025,0,0
EG_CCGT,INDIA,NR,HP,2026,0,0
