Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,SubGeography2,EnergyDemand,SeasonEnergyDemand
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,BR,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,JH,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,OD,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,WB,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,CG,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,GJ,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,MP,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,MH,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,GA,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,UT,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,DL,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,HR,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,HP,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,JK,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,PB,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,RJ,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,UP,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,UK,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,AP,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,KA,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,KL,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,TN,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,TS,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,AS,0.0,0.0
2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,NE,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,BR,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,JH,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,OD,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,WB,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,CG,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,GJ,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,MP,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,MH,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,GA,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,UT,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,DL,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,HR,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,HP,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,JK,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,PB,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,RJ,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,UP,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,UK,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,SR,AP,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,SR,KA,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,SR,KL,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,SR,TN,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,SR,TS,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,NER,AS,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,NER,NE,0.0,0.0
2021,SUMMER,ALLDAYS,MID,INDIA,ER,BR,0.0,0.0
2021,SUMMER,ALLDAYS,MID,INDIA,ER,JH,0.0,0.0
2021,SUMMER,ALLDAYS,MID,INDIA,ER,OD,0.0,0.0
2021,SUMMER,ALLDAYS,MID,INDIA,ER,WB,0.0,0.0
2021,SUMMER,ALLDAYS,MID,INDIA,WR,CG,0.0,0.0
2021,SUMMER,ALLDAYS,MID,INDIA,WR,GJ,0.0,0.0
2021,SUMMER,ALLDAYS,MID,INDIA,WR,MP,0.0,0.0
2021,SUMMER,ALLDAYS,MID,INDIA,WR,MH,0.0,0.0
2021,SUMMER,ALLDAYS,MID,INDIA,WR,GA,0.0,0.0
2021,SUMMER,ALLDAYS,MID,INDIA,WR,UT,0.0,0.0
2021,SUMMER,ALLDAYS,MID,INDIA,NR,DL,0.0,0.0
2021,SUMMER,ALLDAYS,MID,INDIA,NR,HR,0.0,0.0
2021,SUMMER,ALLDAYS,MID,INDIA,NR,HP,0.0,0.0
2021,SUMMER,ALLDAYS,MID,INDIA,NR,JK,0.0,0.0
2021,SUMMER,ALLDAYS,MID,INDIA,NR,PB,0.0,0.0
2021,SUMMER,ALLDAYS,MID,INDIA,NR,RJ,0.0,0.0
2021,SUMMER,ALLDAYS,MID,INDIA,NR,UP,0.0,0.0
