EnergyConvTech,Year,ModelGeography,SubGeography1,CapacityInstalledInYear
EG_COAL,2021,INDIA,ER,0.613304924
EG_COAL,2021,INDIA,WR,1.317829891
EG_COAL,2021,INDIA,NR,1.3173120156
EG_COAL,2021,INDIA,SR,0.8920929089999998
EG_COAL,2021,INDIA,NER,0.004828801000000001
EG_COAL,2022,INDIA,ER,2.37
EG_COAL,2022,INDIA,WR,1.6
EG_COAL,2022,INDIA,NR,2.64
EG_COAL,2022,INDIA,SR,4.605
EG_COAL,2022,INDIA,NER,0.0
EG_COAL,2023,INDIA,ER,4.35
EG_COAL,2023,INDIA,WR,0.0
EG_COAL,2023,INDIA,NR,5.28
EG_COAL,2023,INDIA,SR,3.1900000000000004
EG_COAL,2023,INDIA,NER,0.0
EG_COAL,2024,INDIA,ER,2.26
EG_COAL,2024,INDIA,WR,0.66
EG_COAL,2024,INDIA,NR,0.0
EG_COAL,2024,INDIA,SR,1.46
EG_COAL,2024,INDIA,NER,0.0
EG_COAL,2025,INDIA,ER,1.32
EG_COAL,2025,INDIA,WR,0.0
EG_COAL,2025,INDIA,NR,1.32
EG_COAL,2025,INDIA,SR,5.46
EG_COAL,2025,INDIA,NER,0.0
EG_COAL,2026,INDIA,ER,0.0
EG_COAL,2026,INDIA,WR,0.0
EG_COAL,2026,INDIA,NR,0.0
EG_COAL,2026,INDIA,SR,0.0
EG_COAL,2026,INDIA,NER,0.0
EG_COAL,2027,INDIA,ER,0.0
EG_COAL,2027,INDIA,WR,0.0
EG_COAL,2027,INDIA,NR,0.0
EG_COAL,2027,INDIA,SR,0.0
EG_COAL,2027,INDIA,NER,0.0
EG_COAL,2028,INDIA,ER,0.251393965260064
EG_COAL,2028,INDIA,WR,0.0
EG_COAL,2028,INDIA,NR,0.0
EG_COAL,2028,INDIA,SR,0.0
EG_COAL,2028,INDIA,NER,0.0
EG_COAL,2029,INDIA,ER,3.556186577
EG_COAL,2029,INDIA,WR,7.915723281999999
EG_COAL,2029,INDIA,NR,3.6098787289999996
EG_COAL,2029,INDIA,SR,3.851087433
EG_COAL,2029,INDIA,NER,0.0
EG_COAL,2030,INDIA,ER,3.556186577
EG_COAL,2030,INDIA,WR,0.0
EG_COAL,2030,INDIA,NR,0.0
EG_COAL,2030,INDIA,SR,0.15975161221550144
EG_COAL,2030,INDIA,NER,0.0
EG_COAL,2031,INDIA,ER,0.0
EG_COAL,2031,INDIA,WR,0.0
EG_COAL,2031,INDIA,NR,0.0
EG_COAL,2031,INDIA,SR,0.0
EG_COAL,2031,INDIA,NER,0.0
EG_CCGT,2021,INDIA,ER,0.0
EG_CCGT,2021,INDIA,WR,0.0
EG_CCGT,2021,INDIA,NR,0.0
EG_CCGT,2021,INDIA,SR,0.0
EG_CCGT,2021,INDIA,NER,0.0
EG_CCGT,2022,INDIA,ER,0.0
EG_CCGT,2022,INDIA,WR,0.0
EG_CCGT,2022,INDIA,NR,0.0
EG_CCGT,2022,INDIA,SR,0.37
EG_CCGT,2022,INDIA,NER,0.03615
EG_CCGT,2023,INDIA,ER,0.0
EG_CCGT,2023,INDIA,WR,0.0
EG_CCGT,2023,INDIA,NR,0.0
EG_CCGT,2023,INDIA,SR,0.0
EG_CCGT,2023,INDIA,NER,0.0
EG_CCGT,2024,INDIA,ER,0.0
EG_CCGT,2024,INDIA,WR,0.0
EG_CCGT,2024,INDIA,NR,0.0
EG_CCGT,2024,INDIA,SR,0.0
EG_CCGT,2024,INDIA,NER,0.0
EG_CCGT,2025,INDIA,ER,0.0
EG_CCGT,2025,INDIA,WR,0.0
EG_CCGT,2025,INDIA,NR,0.0
EG_CCGT,2025,INDIA,SR,0.0
EG_CCGT,2025,INDIA,NER,0.0
EG_CCGT,2026,INDIA,ER,0.0
EG_CCGT,2026,INDIA,WR,0.0
EG_CCGT,2026,INDIA,NR,0.0
EG_CCGT,2026,INDIA,SR,0.0
EG_CCGT,2026,INDIA,NER,0.0
EG_CCGT,2027,INDIA,ER,0.0
EG_CCGT,2027,INDIA,WR,0.0
EG_CCGT,2027,INDIA,NR,0.0
EG_CCGT,2027,INDIA,SR,0.0
EG_CCGT,2027,INDIA,NER,0.0
EG_CCGT,2028,INDIA,ER,0.0
EG_CCGT,2028,INDIA,WR,0.0
EG_CCGT,2028,INDIA,NR,0.0
EG_CCGT,2028,INDIA,SR,0.0
EG_CCGT,2028,INDIA,NER,0.0
EG_CCGT,2029,INDIA,ER,0.0
EG_CCGT,2029,INDIA,WR,0.0
EG_CCGT,2029,INDIA,NR,0.198972402
EG_CCGT,2029,INDIA,SR,0.0
EG_CCGT,2029,INDIA,NER,0.0
EG_CCGT,2030,INDIA,ER,0.0
EG_CCGT,2030,INDIA,WR,0.0
EG_CCGT,2030,INDIA,NR,0.0
EG_CCGT,2030,INDIA,SR,0.0
EG_CCGT,2030,INDIA,NER,0.0
EG_CCGT,2031,INDIA,ER,0.0
EG_CCGT,2031,INDIA,WR,0.0
EG_CCGT,2031,INDIA,NR,0.0
EG_CCGT,2031,INDIA,SR,0.0
EG_CCGT,2031,INDIA,NER,0.0
EG_OCGT,2021,INDIA,ER,0.0
EG_OCGT,2021,INDIA,WR,0.0
EG_OCGT,2021,INDIA,NR,0.0
EG_OCGT,2021,INDIA,SR,0.0
EG_OCGT,2021,INDIA,NER,0.0
EG_OCGT,2022,INDIA,ER,0.0
EG_OCGT,2022,INDIA,WR,0.0
EG_OCGT,2022,INDIA,NR,0.0
EG_OCGT,2022,INDIA,SR,0.0
EG_OCGT,2022,INDIA,NER,0.0
EG_OCGT,2023,INDIA,ER,0.0
EG_OCGT,2023,INDIA,WR,0.0
EG_OCGT,2023,INDIA,NR,0.0
EG_OCGT,2023,INDIA,SR,0.0
EG_OCGT,2023,INDIA,NER,0.0
EG_OCGT,2024,INDIA,ER,0.0
EG_OCGT,2024,INDIA,WR,0.0
EG_OCGT,2024,INDIA,NR,0.0
EG_OCGT,2024,INDIA,SR,0.0
EG_OCGT,2024,INDIA,NER,0.0
EG_OCGT,2025,INDIA,ER,0.0
EG_OCGT,2025,INDIA,WR,0.0
EG_OCGT,2025,INDIA,NR,0.0
EG_OCGT,2025,INDIA,SR,0.0
EG_OCGT,2025,INDIA,NER,0.0
EG_OCGT,2026,INDIA,ER,0.0
EG_OCGT,2026,INDIA,WR,0.0
EG_OCGT,2026,INDIA,NR,0.0
