EnergyStorTech,Year,CostOfStorage
FOURHR_BATTERY,2021,0.0
FOURHR_BATTERY,2022,0.0
FOURHR_BATTERY,2023,0.0
FOURHR_BATTERY,2024,0.0
FOURHR_BATTERY,2025,0.0
FOURHR_BATTERY,2026,0.0
FOURHR_BATTERY,2027,6039.861843970172
FOURHR_BATTERY,2028,9007.417180118031
FOURHR_BATTERY,2029,31945.754228130056
FOURHR_BATTERY,2030,76723.805904272
FOURHR_BATTERY,2031,76723.805904272
SIXHR_BATTERY,2021,0.0
SIXHR_BATTERY,2022,0.0
SIXHR_BATTERY,2023,0.0
SIXHR_BATTERY,2024,0.0
SIXHR_BATTERY,2025,0.0
SIXHR_BATTERY,2026,0.0
SIXHR_BATTERY,2027,0.0
SIXHR_BATTERY,2028,0.0
SIXHR_BATTERY,2029,29715.282177016623
SIXHR_BATTERY,2030,44254.08251319258
SIXHR_BATTERY,2031,44254.08251319258
PUMPED_STOR,2021,39444.92310936
PUMPED_STOR,2022,39444.92310936
PUMPED_STOR,2023,39444.92310936
PUMPED_STOR,2024,51377.68058436
PUMPED_STOR,2025,57344.059321860004
PUMPED_STOR,2026,58298.679919860006
PUMPED_STOR,2027,58298.679919860006
PUMPED_STOR,2028,58298.679919860006
PUMPED_STOR,2029,58298.679919860006
PUMPED_STOR,2030,58298.679919860006
PUMPED_STOR,2031,58298.679919860006
