EnergyConvTech,Year,ModelGeography,SubGeography1,EffectiveCapacityExistingInYear
EG_COAL,2021,INDIA,ER,48.655002923999994
EG_COAL,2021,INDIA,WR,108.25394789100001
EG_COAL,2021,INDIA,NR,50.0843550156
EG_COAL,2021,INDIA,SR,52.917703909000004
EG_COAL,2021,INDIA,NER,0.9116288010000001
EG_COAL,2022,INDIA,ER,51.02500292399999
EG_COAL,2022,INDIA,WR,109.853947891
EG_COAL,2022,INDIA,NR,52.724355015600004
EG_COAL,2022,INDIA,SR,57.522703909
EG_COAL,2022,INDIA,NER,0.9116288010000001
EG_COAL,2023,INDIA,ER,55.24500292399999
EG_COAL,2023,INDIA,WR,107.873947891
EG_COAL,2023,INDIA,NR,57.0043550156
EG_COAL,2023,INDIA,SR,59.790703909
EG_COAL,2023,INDIA,NER,0.9116288010000001
EG_COAL,2024,INDIA,ER,57.50500292399999
EG_COAL,2024,INDIA,WR,107.49394789099999
EG_COAL,2024,INDIA,NR,56.404355015600004
EG_COAL,2024,INDIA,SR,61.25070390900001
EG_COAL,2024,INDIA,NER,0.9116288010000001
EG_COAL,2025,INDIA,ER,58.82500292399999
EG_COAL,2025,INDIA,WR,106.673947891
EG_COAL,2025,INDIA,NR,57.324355015600005
EG_COAL,2025,INDIA,SR,66.510703909
EG_COAL,2025,INDIA,NER,0.9116288010000001
EG_COAL,2026,INDIA,ER,61.78087351098337
EG_COAL,2026,INDIA,WR,106.342947891
EG_COAL,2026,INDIA,NR,57.324355015600005
EG_COAL,2026,INDIA,SR,66.11070390900001
EG_COAL,2026,INDIA,NER,0.9116288010000001
EG_COAL,2027,INDIA,ER,62.599227800983385
EG_COAL,2027,INDIA,WR,104.467947891
EG_COAL,2027,INDIA,NR,54.98535501560001
EG_COAL,2027,INDIA,SR,59.349091763016034
EG_COAL,2027,INDIA,NER,0.9116288010000001
EG_COAL,2028,INDIA,ER,64.73134484626756
EG_COAL,2028,INDIA,WR,104.257947891
EG_COAL,2028,INDIA,NR,54.065355015600005
EG_COAL,2028,INDIA,SR,59.349091763016034
EG_COAL,2028,INDIA,NER,0.9116288010000001
EG_COAL,2029,INDIA,ER,68.27469913626756
EG_COAL,2029,INDIA,WR,111.170288187
EG_COAL,2029,INDIA,NR,56.655227361600005
EG_COAL,2029,INDIA,SR,63.402868010016036
EG_COAL,2029,INDIA,NER,0.9116288010000001
EG_COAL,2030,INDIA,ER,72.01805342626756
EG_COAL,2030,INDIA,WR,109.91928818699999
EG_COAL,2030,INDIA,NR,56.0252273616
EG_COAL,2030,INDIA,SR,66.45664425701604
EG_COAL,2030,INDIA,NER,0.9116288010000001
EG_COAL,2031,INDIA,ER,72.01805342626756
EG_COAL,2031,INDIA,WR,109.07928818699999
EG_COAL,2031,INDIA,NR,55.3152273616
EG_COAL,2031,INDIA,SR,65.95664425701604
EG_COAL,2031,INDIA,NER,0.9116288010000001
EG_CCGT,2021,INDIA,ER,0.828372
EG_CCGT,2021,INDIA,WR,14.879273999999999
EG_CCGT,2021,INDIA,NR,6.759032999999999
EG_CCGT,2021,INDIA,SR,7.659523000000001
EG_CCGT,2021,INDIA,NER,2.145014
EG_CCGT,2022,INDIA,ER,0.828372
EG_CCGT,2022,INDIA,WR,14.879273999999999
EG_CCGT,2022,INDIA,NR,6.759032999999999
EG_CCGT,2022,INDIA,SR,8.029523000000001
EG_CCGT,2022,INDIA,NER,2.1811640000000003
EG_CCGT,2023,INDIA,ER,0.828372
EG_CCGT,2023,INDIA,WR,14.879273999999999
EG_CCGT,2023,INDIA,NR,6.759032999999999
EG_CCGT,2023,INDIA,SR,8.029523000000001
EG_CCGT,2023,INDIA,NER,2.1811640000000003
EG_CCGT,2024,INDIA,ER,0.828372
EG_CCGT,2024,INDIA,WR,14.879273999999999
EG_CCGT,2024,INDIA,NR,6.759032999999999
EG_CCGT,2024,INDIA,SR,8.029523000000001
EG_CCGT,2024,INDIA,NER,2.1811640000000003
EG_CCGT,2025,INDIA,ER,0.828372
EG_CCGT,2025,INDIA,WR,14.879273999999999
EG_CCGT,2025,INDIA,NR,6.549032999999999
EG_CCGT,2025,INDIA,SR,8.029523000000001
EG_CCGT,2025,INDIA,NER,2.1811640000000003
EG_CCGT,2026,INDIA,ER,0.828372
EG_CCGT,2026,INDIA,WR,14.879273999999999
EG_CCGT,2026,INDIA,NR,6.339032999999999
EG_CCGT,2026,INDIA,SR,8.029523000000001
EG_CCGT,2026,INDIA,NER,2.1811640000000003
EG_CCGT,2027,INDIA,ER,0.828372
EG_CCGT,2027,INDIA,WR,14.879273999999999
EG_CCGT,2027,INDIA,NR,6.129032999999999
EG_CCGT,2027,INDIA,SR,8.029523000000001
EG_CCGT,2027,INDIA,NER,2.1811640000000003
EG_CCGT,2028,INDIA,ER,0.828372
EG_CCGT,2028,INDIA,WR,14.879273999999999
EG_CCGT,2028,INDIA,NR,5.919032999999999
EG_CCGT,2028,INDIA,SR,8.029523000000001
EG_CCGT,2028,INDIA,NER,2.1811640000000003
EG_CCGT,2029,INDIA,ER,0.828372
EG_CCGT,2029,INDIA,WR,14.879273999999999
EG_CCGT,2029,INDIA,NR,6.128477632999999
EG_CCGT,2029,INDIA,SR,8.029523000000001
EG_CCGT,2029,INDIA,NER,2.1811640000000003
EG_CCGT,2030,INDIA,ER,0.828372
EG_CCGT,2030,INDIA,WR,14.879273999999999
EG_CCGT,2030,INDIA,NR,6.128477632999999
EG_CCGT,2030,INDIA,SR,8.029523000000001
EG_CCGT,2030,INDIA,NER,2.1811640000000003
EG_CCGT,2031,INDIA,ER,0.828372
EG_CCGT,2031,INDIA,WR,14.879273999999999
EG_CCGT,2031,INDIA,NR,6.128477632999999
EG_CCGT,2031,INDIA,SR,8.029523000000001
EG_CCGT,2031,INDIA,NER,2.1811640000000003
EG_OCGT,2021,INDIA,ER,0.0
EG_OCGT,2021,INDIA,WR,0.0
EG_OCGT,2021,INDIA,NR,0.0
EG_OCGT,2021,INDIA,SR,0.0
EG_OCGT,2021,INDIA,NER,0.0
EG_OCGT,2022,INDIA,ER,0.0
EG_OCGT,2022,INDIA,WR,0.0
EG_OCGT,2022,INDIA,NR,0.0
EG_OCGT,2022,INDIA,SR,0.0
EG_OCGT,2022,INDIA,NER,0.0
EG_OCGT,2023,INDIA,ER,0.0
EG_OCGT,2023,INDIA,WR,0.0
EG_OCGT,2023,INDIA,NR,0.0
EG_OCGT,2023,INDIA,SR,0.0
EG_OCGT,2023,INDIA,NER,0.0
EG_OCGT,2024,INDIA,ER,0.0
EG_OCGT,2024,INDIA,WR,0.0
EG_OCGT,2024,INDIA,NR,0.0
EG_OCGT,2024,INDIA,SR,0.0
EG_OCGT,2024,INDIA,NER,0.0
EG_OCGT,2025,INDIA,ER,0.0
EG_OCGT,2025,INDIA,WR,0.0
EG_OCGT,2025,INDIA,NR,0.0
EG_OCGT,2025,INDIA,SR,0.0
EG_OCGT,2025,INDIA,NER,0.0
EG_OCGT,2026,INDIA,ER,0.0
EG_OCGT,2026,INDIA,WR,0.0
EG_OCGT,2026,INDIA,NR,0.0
EG_OCGT,2026,INDIA,SR,0.0
EG_OCGT,2026,INDIA,NER,0.0
