InstYear,EnergyStorTech,Year,ModelGeography,SubGeography1,StorFixedCost
2021,FOURHR_BATTERY,2024,INDIA,SR,4396.174264
2021,FOURHR_BATTERY,2024,INDIA,NER,4396.174264
2021,FOURHR_BATTERY,2025,INDIA,ER,4396.174264
2021,FOURHR_BATTERY,2025,INDIA,WR,4396.174264
2021,FOURHR_BATTERY,2025,INDIA,NR,4396.174264
2021,FOURHR_BATTERY,2025,INDIA,SR,4396.174264
2021,FOURHR_BATTERY,2025,INDIA,NER,4396.174264
2021,FOURHR_BATTERY,2026,INDIA,ER,4396.174264
2021,FOURHR_BATTERY,2026,INDIA,WR,4396.174264
2021,FOURHR_BATTERY,2026,INDIA,NR,4396.174264
2021,FOURHR_BATTERY,2026,INDIA,SR,4396.174264
2021,FOURHR_BATTERY,2026,INDIA,NER,4396.174264
2021,FOURHR_BATTERY,2027,INDIA,ER,4396.174264
2021,FOURHR_BATTERY,2027,INDIA,WR,4396.174264
2021,FOURHR_BATTERY,2027,INDIA,NR,4396.174264
2021,FOURHR_BATTERY,2027,INDIA,SR,4396.174264
2021,FOURHR_BATTERY,2027,INDIA,NER,4396.174264
2021,FOURHR_BATTERY,2028,INDIA,ER,4396.174264
2021,FOURHR_BATTERY,2028,INDIA,WR,4396.174264
2021,FOURHR_BATTERY,2028,INDIA,NR,4396.174264
2021,FOURHR_BATTERY,2028,INDIA,SR,4396.174264
2021,FOURHR_BATTERY,2028,INDIA,NER,4396.174264
2021,FOURHR_BATTERY,2029,INDIA,ER,4396.174264
2021,FOURHR_BATTERY,2029,INDIA,WR,4396.174264
2021,FOURHR_BATTERY,2029,INDIA,NR,4396.174264
2021,FOURHR_BATTERY,2029,INDIA,SR,4396.174264
2021,FOURHR_BATTERY,2029,INDIA,NER,4396.174264
2021,FOURHR_BATTERY,2030,INDIA,ER,4396.174264
2021,FOURHR_BATTERY,2030,INDIA,WR,4396.174264
2021,FOURHR_BATTERY,2030,INDIA,NR,4396.174264
2021,FOURHR_BATTERY,2030,INDIA,SR,4396.174264
2021,FOURHR_BATTERY,2030,INDIA,NER,4396.174264
2021,FOURHR_BATTERY,2031,INDIA,ER,4396.174264
2021,FOURHR_BATTERY,2031,INDIA,WR,4396.174264
2021,FOURHR_BATTERY,2031,INDIA,NR,4396.174264
2021,FOURHR_BATTERY,2031,INDIA,SR,4396.174264
2021,FOURHR_BATTERY,2031,INDIA,NER,4396.174264
2022,FOURHR_BATTERY,2022,INDIA,ER,4152.298195
2022,FOURHR_BATTERY,2022,INDIA,WR,4152.298195
2022,FOURHR_BATTERY,2022,INDIA,NR,4152.298195
2022,FOURHR_BATTERY,2022,INDIA,SR,4152.298195
2022,FOURHR_BATTERY,2022,INDIA,NER,4152.298195
2022,FOURHR_BATTERY,2023,INDIA,ER,4152.298195
2022,FOURHR_BATTERY,2023,INDIA,WR,4152.298195
2022,FOURHR_BATTERY,2023,INDIA,NR,4152.298195
2022,FOURHR_BATTERY,2023,INDIA,SR,4152.298195
2022,FOURHR_BATTERY,2023,INDIA,NER,4152.298195
2022,FOURHR_BATTERY,2024,INDIA,ER,4152.298195
2022,FOURHR_BATTERY,2024,INDIA,WR,4152.298195
2022,FOURHR_BATTERY,2024,INDIA,NR,4152.298195
2022,FOURHR_BATTERY,2024,INDIA,SR,4152.298195
2022,FOURHR_BATTERY,2024,INDIA,NER,4152.298195
2022,FOURHR_BATTERY,2025,INDIA,ER,4152.298195
2022,FOURHR_BATTERY,2025,INDIA,WR,4152.298195
2022,FOURHR_BATTERY,2025,INDIA,NR,4152.298195
2022,FOURHR_BATTERY,2025,INDIA,SR,4152.298195
2022,FOURHR_BATTERY,2025,INDIA,NER,4152.298195
2022,FOURHR_BATTERY,2026,INDIA,ER,4152.298195
2022,FOURHR_BATTERY,2026,INDIA,WR,4152.298195
2022,FOURHR_BATTERY,2026,INDIA,NR,4152.298195
2022,FOURHR_BATTERY,2026,INDIA,SR,4152.298195
2022,FOURHR_BATTERY,2026,INDIA,NER,4152.298195
2022,FOURHR_BATTERY,2027,INDIA,ER,4152.298195
2022,FOURHR_BATTERY,2027,INDIA,WR,4152.298195
