InstYear,EnergyConvTech,Year,ModelGeography,SubGeography1,NamePlateCapacity
2020,EG_COAL,2021,INDIA,ER,48.041698
2020,EG_COAL,2021,INDIA,WR,106.93611800000001
2020,EG_COAL,2021,INDIA,NR,48.767043
2020,EG_COAL,2021,INDIA,SR,52.025611000000005
2020,EG_COAL,2021,INDIA,NER,0.9068
2020,EG_COAL,2022,INDIA,ER,48.041698
2020,EG_COAL,2022,INDIA,WR,106.93611800000001
2020,EG_COAL,2022,INDIA,NR,48.767043
2020,EG_COAL,2022,INDIA,SR,52.025611000000005
2020,EG_COAL,2022,INDIA,NER,0.9068
2020,EG_COAL,2023,INDIA,ER,47.911697999999994
2020,EG_COAL,2023,INDIA,WR,104.956118
2020,EG_COAL,2023,INDIA,NR,47.767043
2020,EG_COAL,2023,INDIA,SR,51.10361100000001
2020,EG_COAL,2023,INDIA,NER,0.9068
2020,EG_COAL,2024,INDIA,ER,47.911697999999994
2020,EG_COAL,2024,INDIA,WR,103.916118
2020,EG_COAL,2024,INDIA,NR,47.167043
2020,EG_COAL,2024,INDIA,SR,51.10361100000001
2020,EG_COAL,2024,INDIA,NER,0.9068
2020,EG_COAL,2025,INDIA,ER,47.911697999999994
2020,EG_COAL,2025,INDIA,WR,103.096118
2020,EG_COAL,2025,INDIA,NR,46.767043
2020,EG_COAL,2025,INDIA,SR,50.903611000000005
2020,EG_COAL,2025,INDIA,NER,0.9068
2020,EG_COAL,2026,INDIA,ER,47.70169799999999
2020,EG_COAL,2026,INDIA,WR,102.765118
2020,EG_COAL,2026,INDIA,NR,46.767043
2020,EG_COAL,2026,INDIA,SR,50.50361100000001
2020,EG_COAL,2026,INDIA,NER,0.9068
2020,EG_COAL,2027,INDIA,ER,44.776697999999996
2020,EG_COAL,2027,INDIA,WR,100.890118
2020,EG_COAL,2027,INDIA,NR,44.428043
2020,EG_COAL,2027,INDIA,SR,43.49361100000001
2020,EG_COAL,2027,INDIA,NER,0.9068
2020,EG_COAL,2028,INDIA,ER,44.57669799999999
2020,EG_COAL,2028,INDIA,WR,100.68011800000001
2020,EG_COAL,2028,INDIA,NR,43.508043
2020,EG_COAL,2028,INDIA,SR,43.49361100000001
2020,EG_COAL,2028,INDIA,NER,0.9068
2020,EG_COAL,2029,INDIA,ER,44.37669799999999
2020,EG_COAL,2029,INDIA,WR,99.260118
2020,EG_COAL,2029,INDIA,NR,42.298043
2020,EG_COAL,2029,INDIA,SR,43.49361100000001
2020,EG_COAL,2029,INDIA,NER,0.9068
2020,EG_COAL,2030,INDIA,ER,44.37669799999999
2020,EG_COAL,2030,INDIA,WR,98.009118
2020,EG_COAL,2030,INDIA,NR,41.668043
2020,EG_COAL,2030,INDIA,SR,42.49361100000001
2020,EG_COAL,2030,INDIA,NER,0.9068
2020,EG_COAL,2031,INDIA,ER,44.37669799999999
2020,EG_COAL,2031,INDIA,WR,97.169118
2020,EG_COAL,2031,INDIA,NR,40.958042999999996
2020,EG_COAL,2031,INDIA,SR,41.99361100000001
2020,EG_COAL,2031,INDIA,NER,0.9068
2020,EG_CCGT,2021,INDIA,ER,0.828372
2020,EG_CCGT,2021,INDIA,WR,14.879273999999999
2020,EG_CCGT,2021,INDIA,NR,6.759032999999999
2020,EG_CCGT,2021,INDIA,SR,7.659523000000001
2020,EG_CCGT,2021,INDIA,NER,2.145014
2020,EG_CCGT,2022,INDIA,ER,0.828372
2020,EG_CCGT,2022,INDIA,WR,14.879273999999999
2020,EG_CCGT,2022,INDIA,NR,6.759032999999999
2020,EG_CCGT,2022,INDIA,SR,7.659523000000001
2020,EG_CCGT,2022,INDIA,NER,2.145014
2020,EG_CCGT,2023,INDIA,ER,0.828372
2020,EG_CCGT,2023,INDIA,WR,14.879273999999999
2020,EG_CCGT,2023,INDIA,NR,6.759032999999999
2020,EG_CCGT,2023,INDIA,SR,7.659523000000001
2020,EG_CCGT,2023,INDIA,NER,2.145014
2020,EG_CCGT,2024,INDIA,ER,0.828372
2020,EG_CCGT,2024,INDIA,WR,14.879273999999999
2020,EG_CCGT,2024,INDIA,NR,6.759032999999999
2020,EG_CCGT,2024,INDIA,SR,7.659523000000001
2020,EG_CCGT,2024,INDIA,NER,2.145014
2020,EG_CCGT,2025,INDIA,ER,0.828372
2020,EG_CCGT,2025,INDIA,WR,14.879273999999999
2020,EG_CCGT,2025,INDIA,NR,6.549032999999999
2020,EG_CCGT,2025,INDIA,SR,7.659523000000001
2020,EG_CCGT,2025,INDIA,NER,2.145014
2020,EG_CCGT,2026,INDIA,ER,0.828372
2020,EG_CCGT,2026,INDIA,WR,14.879273999999999
2020,EG_CCGT,2026,INDIA,NR,6.339032999999999
2020,EG_CCGT,2026,INDIA,SR,7.659523000000001
2020,EG_CCGT,2026,INDIA,NER,2.145014
2020,EG_CCGT,2027,INDIA,ER,0.828372
2020,EG_CCGT,2027,INDIA,WR,14.879273999999999
2020,EG_CCGT,2027,INDIA,NR,6.129032999999999
2020,EG_CCGT,2027,INDIA,SR,7.659523000000001
2020,EG_CCGT,2027,INDIA,NER,2.145014
2020,EG_CCGT,2028,INDIA,ER,0.828372
2020,EG_CCGT,2028,INDIA,WR,14.879273999999999
2020,EG_CCGT,2028,INDIA,NR,5.919032999999999
2020,EG_CCGT,2028,INDIA,SR,7.659523000000001
2020,EG_CCGT,2028,INDIA,NER,2.145014
2020,EG_CCGT,2029,INDIA,ER,0.828372
2020,EG_CCGT,2029,INDIA,WR,14.879273999999999
2020,EG_CCGT,2029,INDIA,NR,5.919032999999999
