EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,EndUseDemandMetByImp
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,SR,0.0
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,NER,0.0
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,ER,0.0
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,WR,0.0
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,NR,0.0
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,SR,0.0
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,NER,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,ER,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,WR,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,NR,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,SR,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,NER,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,ER,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,WR,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,NR,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,SR,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,NER,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,ER,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,WR,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,NR,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,SR,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,NER,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,ER,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,WR,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,NR,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,SR,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,NER,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,ER,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,WR,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,NR,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,SR,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,NER,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,ER,0.0
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,WR,0.0
