EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeographySrc,SubGeography1Src,ModelGeographyDest,SubGeography1Dest,TotalSupplyFromTo
COKING_COAL,2021,,,,INDIA,ER,INDIA,ER,44.31962890307316
COKING_COAL,2021,,,,INDIA,ER,INDIA,WR,0.0
COKING_COAL,2021,,,,INDIA,ER,INDIA,NR,0.0
COKING_COAL,2021,,,,INDIA,ER,INDIA,SR,0.0
COKING_COAL,2021,,,,INDIA,ER,INDIA,NER,0.0
COKING_COAL,2021,,,,INDIA,WR,INDIA,ER,0.0
COKING_COAL,2021,,,,INDIA,WR,INDIA,WR,2.8579213491385267
COKING_COAL,2021,,,,INDIA,WR,INDIA,NR,0.0
COKING_COAL,2021,,,,INDIA,WR,INDIA,SR,0.0
COKING_COAL,2021,,,,INDIA,WR,INDIA,NER,0.0
COKING_COAL,2021,,,,INDIA,NR,INDIA,ER,0.0
COKING_COAL,2021,,,,INDIA,NR,INDIA,WR,0.0
COKING_COAL,2021,,,,INDIA,NR,INDIA,NR,0.0
COKING_COAL,2021,,,,INDIA,NR,INDIA,SR,0.0
COKING_COAL,2021,,,,INDIA,NR,INDIA,NER,0.0
COKING_COAL,2021,,,,INDIA,SR,INDIA,ER,0.0
COKING_COAL,2021,,,,INDIA,SR,INDIA,WR,0.0
COKING_COAL,2021,,,,INDIA,SR,INDIA,NR,0.0
COKING_COAL,2021,,,,INDIA,SR,INDIA,SR,0.9385418637586059
COKING_COAL,2021,,,,INDIA,SR,INDIA,NER,0.0
COKING_COAL,2021,,,,INDIA,NER,INDIA,ER,0.0
COKING_COAL,2021,,,,INDIA,NER,INDIA,WR,0.0
COKING_COAL,2021,,,,INDIA,NER,INDIA,NR,0.0
COKING_COAL,2021,,,,INDIA,NER,INDIA,SR,0.0
COKING_COAL,2021,,,,INDIA,NER,INDIA,NER,0.0
COKING_COAL,2022,,,,INDIA,ER,INDIA,ER,47.26274930387857
COKING_COAL,2022,,,,INDIA,ER,INDIA,WR,0.0
COKING_COAL,2022,,,,INDIA,ER,INDIA,NR,0.0
COKING_COAL,2022,,,,INDIA,ER,INDIA,SR,0.0
COKING_COAL,2022,,,,INDIA,ER,INDIA,NER,0.0
COKING_COAL,2022,,,,INDIA,WR,INDIA,ER,0.0
COKING_COAL,2022,,,,INDIA,WR,INDIA,WR,3.090460788622595
COKING_COAL,2022,,,,INDIA,WR,INDIA,NR,0.0
COKING_COAL,2022,,,,INDIA,WR,INDIA,SR,0.0
COKING_COAL,2022,,,,INDIA,WR,INDIA,NER,0.0
COKING_COAL,2022,,,,INDIA,NR,INDIA,ER,0.0
COKING_COAL,2022,,,,INDIA,NR,INDIA,WR,0.0
COKING_COAL,2022,,,,INDIA,NR,INDIA,NR,0.0
COKING_COAL,2022,,,,INDIA,NR,INDIA,SR,0.0
COKING_COAL,2022,,,,INDIA,NR,INDIA,NER,0.0
COKING_COAL,2022,,,,INDIA,SR,INDIA,ER,0.0
COKING_COAL,2022,,,,INDIA,SR,INDIA,WR,0.0
COKING_COAL,2022,,,,INDIA,SR,INDIA,NR,0.0
COKING_COAL,2022,,,,INDIA,SR,INDIA,SR,1.0139393128179406
COKING_COAL,2022,,,,INDIA,SR,INDIA,NER,0.0
COKING_COAL,2022,,,,INDIA,NER,INDIA,ER,0.0
COKING_COAL,2022,,,,INDIA,NER,INDIA,WR,0.0
COKING_COAL,2022,,,,INDIA,NER,INDIA,NR,0.0
COKING_COAL,2022,,,,INDIA,NER,INDIA,SR,0.0
COKING_COAL,2022,,,,INDIA,NER,INDIA,NER,0.0
COKING_COAL,2023,,,,INDIA,ER,INDIA,ER,49.418532506122624
COKING_COAL,2023,,,,INDIA,ER,INDIA,WR,0.0
COKING_COAL,2023,,,,INDIA,ER,INDIA,NR,0.0
COKING_COAL,2023,,,,INDIA,ER,INDIA,SR,0.0
COKING_COAL,2023,,,,INDIA,ER,INDIA,NER,0.0
COKING_COAL,2023,,,,INDIA,WR,INDIA,ER,0.0
COKING_COAL,2023,,,,INDIA,WR,INDIA,WR,3.276909318577783
COKING_COAL,2023,,,,INDIA,WR,INDIA,NR,0.0
COKING_COAL,2023,,,,INDIA,WR,INDIA,SR,0.0
COKING_COAL,2023,,,,INDIA,WR,INDIA,NER,0.0
COKING_COAL,2023,,,,INDIA,NR,INDIA,ER,0.0
COKING_COAL,2023,,,,INDIA,NR,INDIA,WR,0.0
COKING_COAL,2023,,,,INDIA,NR,INDIA,NR,0.0
COKING_COAL,2023,,,,INDIA,NR,INDIA,SR,0.0
COKING_COAL,2023,,,,INDIA,NR,INDIA,NER,0.0
