InstYear,EnergyConvTech,Year,ModelGeography,SubGeography1,FixedCost
2020,RF_LPG,2021,INDIA,,5705.334712
2020,RF_LPG,2022,INDIA,,5705.334712
2020,RF_LPG,2023,INDIA,,5705.334712
2020,RF_LPG,2024,INDIA,,5705.334712
2020,RF_LPG,2025,INDIA,,5705.334712
2020,RF_LPG,2026,INDIA,,5705.334712
2020,RF_LPG,2027,INDIA,,5705.334712
2020,RF_LPG,2028,INDIA,,5705.334712
2020,RF_LPG,2029,INDIA,,5705.334712
2020,RF_LPG,2030,INDIA,,5705.334712
2020,RF_LPG,2031,INDIA,,5705.334712
2021,RF_LPG,2021,INDIA,,5705.334712
2021,RF_LPG,2022,INDIA,,5705.334712
2022,RF_LPG,2022,INDIA,,5705.334712
2021,RF_LPG,2023,INDIA,,5705.334712
2022,RF_LPG,2023,INDIA,,5705.334712
2023,RF_LPG,2023,INDIA,,5705.334712
2021,RF_LPG,2024,INDIA,,5705.334712
2022,RF_LPG,2024,INDIA,,5705.334712
2023,RF_LPG,2024,INDIA,,5705.334712
2024,RF_LPG,2024,INDIA,,5705.334712
2021,RF_LPG,2025,INDIA,,5705.334712
2022,RF_LPG,2025,INDIA,,5705.334712
2023,RF_LPG,2025,INDIA,,5705.334712
2024,RF_LPG,2025,INDIA,,5705.334712
2025,RF_LPG,2025,INDIA,,5705.334712
2021,RF_LPG,2026,INDIA,,5705.334712
2022,RF_LPG,2026,INDIA,,5705.334712
2023,RF_LPG,2026,INDIA,,5705.334712
2024,RF_LPG,2026,INDIA,,5705.334712
2025,RF_LPG,2026,INDIA,,5705.334712
2026,RF_LPG,2026,INDIA,,5705.334712
2021,RF_LPG,2027,INDIA,,5705.334712
2022,RF_LPG,2027,INDIA,,5705.334712
2023,RF_LPG,2027,INDIA,,5705.334712
2024,RF_LPG,2027,INDIA,,5705.334712
2025,RF_LPG,2027,INDIA,,5705.334712
2026,RF_LPG,2027,INDIA,,5705.334712
2027,RF_LPG,2027,INDIA,,5705.334712
2021,RF_LPG,2028,INDIA,,5705.334712
2022,RF_LPG,2028,INDIA,,5705.334712
2023,RF_LPG,2028,INDIA,,5705.334712
2024,RF_LPG,2028,INDIA,,5705.334712
2025,RF_LPG,2028,INDIA,,5705.334712
2026,RF_LPG,2028,INDIA,,5705.334712
2027,RF_LPG,2028,INDIA,,5705.334712
2028,RF_LPG,2028,INDIA,,5705.334712
2021,RF_LPG,2029,INDIA,,5705.334712
2022,RF_LPG,2029,INDIA,,5705.334712
2023,RF_LPG,2029,INDIA,,5705.334712
2024,RF_LPG,2029,INDIA,,5705.334712
2025,RF_LPG,2029,INDIA,,5705.334712
2026,RF_LPG,2029,INDIA,,5705.334712
2027,RF_LPG,2029,INDIA,,5705.334712
2028,RF_LPG,2029,INDIA,,5705.334712
2029,RF_LPG,2029,INDIA,,5705.334712
2021,RF_LPG,2030,INDIA,,5705.334712
2022,RF_LPG,2030,INDIA,,5705.334712
2023,RF_LPG,2030,INDIA,,5705.334712
2024,RF_LPG,2030,INDIA,,5705.334712
2025,RF_LPG,2030,INDIA,,5705.334712
2026,RF_LPG,2030,INDIA,,5705.334712
2027,RF_LPG,2030,INDIA,,5705.334712
2028,RF_LPG,2030,INDIA,,5705.334712
2029,RF_LPG,2030,INDIA,,5705.334712
2030,RF_LPG,2030,INDIA,,5705.334712
2021,RF_LPG,2031,INDIA,,5705.334712
