EnergyCarrier,Year,ModelGeographySrc,SubGeography1Src,ModelGeographyDest,SubGeography1Dest,DerivedTransitCost
COKING_COAL,2024,INDIA,WR,INDIA,NER,4273.092
COKING_COAL,2024,INDIA,NR,INDIA,ER,3288.4224
COKING_COAL,2024,INDIA,NR,INDIA,WR,2884.8624
COKING_COAL,2024,INDIA,NR,INDIA,NR,926.0
COKING_COAL,2024,INDIA,NR,INDIA,SR,3948.192
COKING_COAL,2024,INDIA,NR,INDIA,NER,4092.592
COKING_COAL,2024,INDIA,SR,INDIA,ER,3567.5224
COKING_COAL,2024,INDIA,SR,INDIA,WR,3206.5624000000003
COKING_COAL,2024,INDIA,SR,INDIA,NR,3948.192
COKING_COAL,2024,INDIA,SR,INDIA,SR,926.0
COKING_COAL,2024,INDIA,SR,INDIA,NER,4706.492
COKING_COAL,2024,INDIA,NER,INDIA,ER,3288.4224
COKING_COAL,2024,INDIA,NER,INDIA,WR,4400.7624
COKING_COAL,2024,INDIA,NER,INDIA,NR,4092.592
COKING_COAL,2024,INDIA,NER,INDIA,SR,4706.492
COKING_COAL,2024,INDIA,NER,INDIA,NER,926.0
COKING_COAL,2025,INDIA,ER,INDIA,ER,797.2
COKING_COAL,2025,INDIA,ER,INDIA,WR,3445.8624
COKING_COAL,2025,INDIA,ER,INDIA,NR,3416.192
COKING_COAL,2025,INDIA,ER,INDIA,SR,3695.292
COKING_COAL,2025,INDIA,ER,INDIA,NER,3416.192
COKING_COAL,2025,INDIA,WR,INDIA,ER,3190.4224
COKING_COAL,2025,INDIA,WR,INDIA,WR,1054.7
COKING_COAL,2025,INDIA,WR,INDIA,NR,2757.192
COKING_COAL,2025,INDIA,WR,INDIA,SR,3078.8920000000003
COKING_COAL,2025,INDIA,WR,INDIA,NER,4273.092
COKING_COAL,2025,INDIA,NR,INDIA,ER,3288.4224
COKING_COAL,2025,INDIA,NR,INDIA,WR,2884.8624
COKING_COAL,2025,INDIA,NR,INDIA,NR,926.0
COKING_COAL,2025,INDIA,NR,INDIA,SR,3948.192
COKING_COAL,2025,INDIA,NR,INDIA,NER,4092.592
COKING_COAL,2025,INDIA,SR,INDIA,ER,3567.5224
COKING_COAL,2025,INDIA,SR,INDIA,WR,3206.5624000000003
COKING_COAL,2025,INDIA,SR,INDIA,NR,3948.192
COKING_COAL,2025,INDIA,SR,INDIA,SR,926.0
COKING_COAL,2025,INDIA,SR,INDIA,NER,4706.492
COKING_COAL,2025,INDIA,NER,INDIA,ER,3288.4224
COKING_COAL,2025,INDIA,NER,INDIA,WR,4400.7624
COKING_COAL,2025,INDIA,NER,INDIA,NR,4092.592
COKING_COAL,2025,INDIA,NER,INDIA,SR,4706.492
COKING_COAL,2025,INDIA,NER,INDIA,NER,926.0
COKING_COAL,2026,INDIA,ER,INDIA,ER,797.2
COKING_COAL,2026,INDIA,ER,INDIA,WR,3445.8624
COKING_COAL,2026,INDIA,ER,INDIA,NR,3416.192
COKING_COAL,2026,INDIA,ER,INDIA,SR,3695.292
COKING_COAL,2026,INDIA,ER,INDIA,NER,3416.192
COKING_COAL,2026,INDIA,WR,INDIA,ER,3190.4224
COKING_COAL,2026,INDIA,WR,INDIA,WR,1054.7
COKING_COAL,2026,INDIA,WR,INDIA,NR,2757.192
COKING_COAL,2026,INDIA,WR,INDIA,SR,3078.8920000000003
COKING_COAL,2026,INDIA,WR,INDIA,NER,4273.092
COKING_COAL,2026,INDIA,NR,INDIA,ER,3288.4224
COKING_COAL,2026,INDIA,NR,INDIA,WR,2884.8624
COKING_COAL,2026,INDIA,NR,INDIA,NR,926.0
COKING_COAL,2026,INDIA,NR,INDIA,SR,3948.192
COKING_COAL,2026,INDIA,NR,INDIA,NER,4092.592
COKING_COAL,2026,INDIA,SR,INDIA,ER,3567.5224
COKING_COAL,2026,INDIA,SR,INDIA,WR,3206.5624000000003
COKING_COAL,2026,INDIA,SR,INDIA,NR,3948.192
COKING_COAL,2026,INDIA,SR,INDIA,SR,926.0
COKING_COAL,2026,INDIA,SR,INDIA,NER,4706.492
COKING_COAL,2026,INDIA,NER,INDIA,ER,3288.4224
COKING_COAL,2026,INDIA,NER,INDIA,WR,4400.7624
COKING_COAL,2026,INDIA,NER,INDIA,NR,4092.592
COKING_COAL,2026,INDIA,NER,INDIA,SR,4706.492
COKING_COAL,2026,INDIA,NER,INDIA,NER,926.0
COKING_COAL,2027,INDIA,ER,INDIA,ER,797.2
COKING_COAL,2027,INDIA,ER,INDIA,WR,3445.8624
COKING_COAL,2027,INDIA,ER,INDIA,NR,3416.192
COKING_COAL,2027,INDIA,ER,INDIA,SR,3695.292
COKING_COAL,2027,INDIA,ER,INDIA,NER,3416.192
COKING_COAL,2027,INDIA,WR,INDIA,ER,3190.4224
COKING_COAL,2027,INDIA,WR,INDIA,WR,1054.7
COKING_COAL,2027,INDIA,WR,INDIA,NR,2757.192
COKING_COAL,2027,INDIA,WR,INDIA,SR,3078.8920000000003
COKING_COAL,2027,INDIA,WR,INDIA,NER,4273.092
COKING_COAL,2027,INDIA,NR,INDIA,ER,3288.4224
COKING_COAL,2027,INDIA,NR,INDIA,WR,2884.8624
COKING_COAL,2027,INDIA,NR,INDIA,NR,926.0
COKING_COAL,2027,INDIA,NR,INDIA,SR,3948.192
COKING_COAL,2027,INDIA,NR,INDIA,NER,4092.592
COKING_COAL,2027,INDIA,SR,INDIA,ER,3567.5224
COKING_COAL,2027,INDIA,SR,INDIA,WR,3206.5624000000003
COKING_COAL,2027,INDIA,SR,INDIA,NR,3948.192
COKING_COAL,2027,INDIA,SR,INDIA,SR,926.0
COKING_COAL,2027,INDIA,SR,INDIA,NER,4706.492
COKING_COAL,2027,INDIA,NER,INDIA,ER,3288.4224
COKING_COAL,2027,INDIA,NER,INDIA,WR,4400.7624
COKING_COAL,2027,INDIA,NER,INDIA,NR,4092.592
COKING_COAL,2027,INDIA,NER,INDIA,SR,4706.492
COKING_COAL,2027,INDIA,NER,INDIA,NER,926.0
COKING_COAL,2028,INDIA,ER,INDIA,ER,797.2
COKING_COAL,2028,INDIA,ER,INDIA,WR,3445.8624
COKING_COAL,2028,INDIA,ER,INDIA,NR,3416.192
COKING_COAL,2028,INDIA,ER,INDIA,SR,3695.292
COKING_COAL,2028,INDIA,ER,INDIA,NER,3416.192
COKING_COAL,2028,INDIA,WR,INDIA,ER,3190.4224
COKING_COAL,2028,INDIA,WR,INDIA,WR,1054.7
COKING_COAL,2028,INDIA,WR,INDIA,NR,2757.192
COKING_COAL,2028,INDIA,WR,INDIA,SR,3078.8920000000003
COKING_COAL,2028,INDIA,WR,INDIA,NER,4273.092
COKING_COAL,2028,INDIA,NR,INDIA,ER,3288.4224
COKING_COAL,2028,INDIA,NR,INDIA,WR,2884.8624
COKING_COAL,2028,INDIA,NR,INDIA,NR,926.0
COKING_COAL,2028,INDIA,NR,INDIA,SR,3948.192
COKING_COAL,2028,INDIA,NR,INDIA,NER,4092.592
COKING_COAL,2028,INDIA,SR,INDIA,ER,3567.5224
COKING_COAL,2028,INDIA,SR,INDIA,WR,3206.5624000000003
COKING_COAL,2028,INDIA,SR,INDIA,NR,3948.192
COKING_COAL,2028,INDIA,SR,INDIA,SR,926.0
COKING_COAL,2028,INDIA,SR,INDIA,NER,4706.492
COKING_COAL,2028,INDIA,NER,INDIA,ER,3288.4224
COKING_COAL,2028,INDIA,NER,INDIA,WR,4400.7624
COKING_COAL,2028,INDIA,NER,INDIA,NR,4092.592
COKING_COAL,2028,INDIA,NER,INDIA,SR,4706.492
COKING_COAL,2028,INDIA,NER,INDIA,NER,926.0
COKING_COAL,2029,INDIA,ER,INDIA,ER,797.2
COKING_COAL,2029,INDIA,ER,INDIA,WR,3445.8624
COKING_COAL,2029,INDIA,ER,INDIA,NR,3416.192
COKING_COAL,2029,INDIA,ER,INDIA,SR,3695.292
COKING_COAL,2029,INDIA,ER,INDIA,NER,3416.192
COKING_COAL,2029,INDIA,WR,INDIA,ER,3190.4224
COKING_COAL,2029,INDIA,WR,INDIA,WR,1054.7
COKING_COAL,2029,INDIA,WR,INDIA,NR,2757.192
COKING_COAL,2029,INDIA,WR,INDIA,SR,3078.8920000000003
COKING_COAL,2029,INDIA,WR,INDIA,NER,4273.092
COKING_COAL,2029,INDIA,NR,INDIA,ER,3288.4224
COKING_COAL,2029,INDIA,NR,INDIA,WR,2884.8624
COKING_COAL,2029,INDIA,NR,INDIA,NR,926.0
COKING_COAL,2029,INDIA,NR,INDIA,SR,3948.192
COKING_COAL,2029,INDIA,NR,INDIA,NER,4092.592
COKING_COAL,2029,INDIA,SR,INDIA,ER,3567.5224
COKING_COAL,2029,INDIA,SR,INDIA,WR,3206.5624000000003
COKING_COAL,2029,INDIA,SR,INDIA,NR,3948.192
COKING_COAL,2029,INDIA,SR,INDIA,SR,926.0
COKING_COAL,2029,INDIA,SR,INDIA,NER,4706.492
COKING_COAL,2029,INDIA,NER,INDIA,ER,3288.4224
COKING_COAL,2029,INDIA,NER,INDIA,WR,4400.7624
COKING_COAL,2029,INDIA,NER,INDIA,NR,4092.592
COKING_COAL,2029,INDIA,NER,INDIA,SR,4706.492
COKING_COAL,2029,INDIA,NER,INDIA,NER,926.0
COKING_COAL,2030,INDIA,ER,INDIA,ER,797.2
COKING_COAL,2030,INDIA,ER,INDIA,WR,3445.8624
COKING_COAL,2030,INDIA,ER,INDIA,NR,3416.192
COKING_COAL,2030,INDIA,ER,INDIA,SR,3695.292
COKING_COAL,2030,INDIA,ER,INDIA,NER,3416.192
COKING_COAL,2030,INDIA,WR,INDIA,ER,3190.4224
COKING_COAL,2030,INDIA,WR,INDIA,WR,1054.7
COKING_COAL,2030,INDIA,WR,INDIA,NR,2757.192
COKING_COAL,2030,INDIA,WR,INDIA,SR,3078.8920000000003
COKING_COAL,2030,INDIA,WR,INDIA,NER,4273.092
COKING_COAL,2030,INDIA,NR,INDIA,ER,3288.4224
COKING_COAL,2030,INDIA,NR,INDIA,WR,2884.8624
COKING_COAL,2030,INDIA,NR,INDIA,NR,926.0
COKING_COAL,2030,INDIA,NR,INDIA,SR,3948.192
COKING_COAL,2030,INDIA,NR,INDIA,NER,4092.592
COKING_COAL,2030,INDIA,SR,INDIA,ER,3567.5224
COKING_COAL,2030,INDIA,SR,INDIA,WR,3206.5624000000003
COKING_COAL,2030,INDIA,SR,INDIA,NR,3948.192
COKING_COAL,2030,INDIA,SR,INDIA,SR,926.0
COKING_COAL,2030,INDIA,SR,INDIA,NER,4706.492
COKING_COAL,2030,INDIA,NER,INDIA,ER,3288.4224
COKING_COAL,2030,INDIA,NER,INDIA,WR,4400.7624
COKING_COAL,2030,INDIA,NER,INDIA,NR,4092.592
COKING_COAL,2030,INDIA,NER,INDIA,SR,4706.492
COKING_COAL,2030,INDIA,NER,INDIA,NER,926.0
COKING_COAL,2031,INDIA,ER,INDIA,ER,797.2
COKING_COAL,2031,INDIA,ER,INDIA,WR,3445.8624
COKING_COAL,2031,INDIA,ER,INDIA,NR,3416.192
COKING_COAL,2031,INDIA,ER,INDIA,SR,3695.292
COKING_COAL,2031,INDIA,ER,INDIA,NER,3416.192
COKING_COAL,2031,INDIA,WR,INDIA,ER,3190.4224
COKING_COAL,2031,INDIA,WR,INDIA,WR,1054.7
COKING_COAL,2031,INDIA,WR,INDIA,NR,2757.192
COKING_COAL,2031,INDIA,WR,INDIA,SR,3078.8920000000003
COKING_COAL,2031,INDIA,WR,INDIA,NER,4273.092
COKING_COAL,2031,INDIA,NR,INDIA,ER,3288.4224
COKING_COAL,2031,INDIA,NR,INDIA,WR,2884.8624
COKING_COAL,2031,INDIA,NR,INDIA,NR,926.0
COKING_COAL,2031,INDIA,NR,INDIA,SR,3948.192
COKING_COAL,2031,INDIA,NR,INDIA,NER,4092.592
COKING_COAL,2031,INDIA,SR,INDIA,ER,3567.5224
COKING_COAL,2031,INDIA,SR,INDIA,WR,3206.5624000000003
COKING_COAL,2031,INDIA,SR,INDIA,NR,3948.192
COKING_COAL,2031,INDIA,SR,INDIA,SR,926.0
COKING_COAL,2031,INDIA,SR,INDIA,NER,4706.492
COKING_COAL,2031,INDIA,NER,INDIA,ER,3288.4224
COKING_COAL,2031,INDIA,NER,INDIA,WR,4400.7624
COKING_COAL,2031,INDIA,NER,INDIA,NR,4092.592
COKING_COAL,2031,INDIA,NER,INDIA,SR,4706.492
COKING_COAL,2031,INDIA,NER,INDIA,NER,926.0
STEAM_COAL,2021,INDIA,ER,INDIA,ER,797.2
STEAM_COAL,2021,INDIA,ER,INDIA,WR,3445.8624
STEAM_COAL,2021,INDIA,ER,INDIA,NR,3416.192
STEAM_COAL,2021,INDIA,ER,INDIA,SR,3695.292
STEAM_COAL,2021,INDIA,ER,INDIA,NER,3416.192
STEAM_COAL,2021,INDIA,WR,INDIA,ER,3190.4224
STEAM_COAL,2021,INDIA,WR,INDIA,WR,1054.7
STEAM_COAL,2021,INDIA,WR,INDIA,NR,2757.192
STEAM_COAL,2021,INDIA,WR,INDIA,SR,3078.8920000000003
STEAM_COAL,2021,INDIA,WR,INDIA,NER,4273.092
STEAM_COAL,2021,INDIA,NR,INDIA,ER,3288.4224
STEAM_COAL,2021,INDIA,NR,INDIA,WR,2884.8624
STEAM_COAL,2021,INDIA,NR,INDIA,NR,926.0
STEAM_COAL,2021,INDIA,NR,INDIA,SR,3948.192
STEAM_COAL,2021,INDIA,NR,INDIA,NER,4092.592
STEAM_COAL,2021,INDIA,SR,INDIA,ER,3567.5224
STEAM_COAL,2021,INDIA,SR,INDIA,WR,3206.5624000000003
STEAM_COAL,2021,INDIA,SR,INDIA,NR,3948.192
STEAM_COAL,2021,INDIA,SR,INDIA,SR,926.0
STEAM_COAL,2021,INDIA,SR,INDIA,NER,4706.492
STEAM_COAL,2021,INDIA,NER,INDIA,ER,3288.4224
STEAM_COAL,2021,INDIA,NER,INDIA,WR,4400.7624
STEAM_COAL,2021,INDIA,NER,INDIA,NR,4092.592
STEAM_COAL,2021,INDIA,NER,INDIA,SR,4706.492
STEAM_COAL,2021,INDIA,NER,INDIA,NER,926.0
STEAM_COAL,2022,INDIA,ER,INDIA,ER,797.2
STEAM_COAL,2022,INDIA,ER,INDIA,WR,3445.8624
STEAM_COAL,2022,INDIA,ER,INDIA,NR,3416.192
STEAM_COAL,2022,INDIA,ER,INDIA,SR,3695.292
STEAM_COAL,2022,INDIA,ER,INDIA,NER,3416.192
STEAM_COAL,2022,INDIA,WR,INDIA,ER,3190.4224
STEAM_COAL,2022,INDIA,WR,INDIA,WR,1054.7
STEAM_COAL,2022,INDIA,WR,INDIA,NR,2757.192
STEAM_COAL,2022,INDIA,WR,INDIA,SR,3078.8920000000003
STEAM_COAL,2022,INDIA,WR,INDIA,NER,4273.092
STEAM_COAL,2022,INDIA,NR,INDIA,ER,3288.4224
STEAM_COAL,2022,INDIA,NR,INDIA,WR,2884.8624
STEAM_COAL,2022,INDIA,NR,INDIA,NR,926.0
STEAM_COAL,2022,INDIA,NR,INDIA,SR,3948.192
STEAM_COAL,2022,INDIA,NR,INDIA,NER,4092.592
STEAM_COAL,2022,INDIA,SR,INDIA,ER,3567.5224
STEAM_COAL,2022,INDIA,SR,INDIA,WR,3206.5624000000003
STEAM_COAL,2022,INDIA,SR,INDIA,NR,3948.192
STEAM_COAL,2022,INDIA,SR,INDIA,SR,926.0
STEAM_COAL,2022,INDIA,SR,INDIA,NER,4706.492
STEAM_COAL,2022,INDIA,NER,INDIA,ER,3288.4224
STEAM_COAL,2022,INDIA,NER,INDIA,WR,4400.7624
STEAM_COAL,2022,INDIA,NER,INDIA,NR,4092.592
STEAM_COAL,2022,INDIA,NER,INDIA,SR,4706.492
STEAM_COAL,2022,INDIA,NER,INDIA,NER,926.0
STEAM_COAL,2023,INDIA,ER,INDIA,ER,797.2
STEAM_COAL,2023,INDIA,ER,INDIA,WR,3445.8624
STEAM_COAL,2023,INDIA,ER,INDIA,NR,3416.192
STEAM_COAL,2023,INDIA,ER,INDIA,SR,3695.292
STEAM_COAL,2023,INDIA,ER,INDIA,NER,3416.192
STEAM_COAL,2023,INDIA,WR,INDIA,ER,3190.4224
STEAM_COAL,2023,INDIA,WR,INDIA,WR,1054.7
STEAM_COAL,2023,INDIA,WR,INDIA,NR,2757.192
STEAM_COAL,2023,INDIA,WR,INDIA,SR,3078.8920000000003
STEAM_COAL,2023,INDIA,WR,INDIA,NER,4273.092
STEAM_COAL,2023,INDIA,NR,INDIA,ER,3288.4224
STEAM_COAL,2023,INDIA,NR,INDIA,WR,2884.8624
STEAM_COAL,2023,INDIA,NR,INDIA,NR,926.0
STEAM_COAL,2023,INDIA,NR,INDIA,SR,3948.192
STEAM_COAL,2023,INDIA,NR,INDIA,NER,4092.592
STEAM_COAL,2023,INDIA,SR,INDIA,ER,3567.5224
STEAM_COAL,2023,INDIA,SR,INDIA,WR,3206.5624000000003
STEAM_COAL,2023,INDIA,SR,INDIA,NR,3948.192
STEAM_COAL,2023,INDIA,SR,INDIA,SR,926.0
STEAM_COAL,2023,INDIA,SR,INDIA,NER,4706.492
STEAM_COAL,2023,INDIA,NER,INDIA,ER,3288.4224
STEAM_COAL,2023,INDIA,NER,INDIA,WR,4400.7624
STEAM_COAL,2023,INDIA,NER,INDIA,NR,4092.592
STEAM_COAL,2023,INDIA,NER,INDIA,SR,4706.492
STEAM_COAL,2023,INDIA,NER,INDIA,NER,926.0
STEAM_COAL,2024,INDIA,ER,INDIA,ER,797.2
STEAM_COAL,2024,INDIA,ER,INDIA,WR,3445.8624
STEAM_COAL,2024,INDIA,ER,INDIA,NR,3416.192
STEAM_COAL,2024,INDIA,ER,INDIA,SR,3695.292
STEAM_COAL,2024,INDIA,ER,INDIA,NER,3416.192
STEAM_COAL,2024,INDIA,WR,INDIA,ER,3190.4224
STEAM_COAL,2024,INDIA,WR,INDIA,WR,1054.7
STEAM_COAL,2024,INDIA,WR,INDIA,NR,2757.192
STEAM_COAL,2024,INDIA,WR,INDIA,SR,3078.8920000000003
STEAM_COAL,2024,INDIA,WR,INDIA,NER,4273.092
STEAM_COAL,2024,INDIA,NR,INDIA,ER,3288.4224
STEAM_COAL,2024,INDIA,NR,INDIA,WR,2884.8624
STEAM_COAL,2024,INDIA,NR,INDIA,NR,926.0
STEAM_COAL,2024,INDIA,NR,INDIA,SR,3948.192
STEAM_COAL,2024,INDIA,NR,INDIA,NER,4092.592
STEAM_COAL,2024,INDIA,SR,INDIA,ER,3567.5224
STEAM_COAL,2024,INDIA,SR,INDIA,WR,3206.5624000000003
STEAM_COAL,2024,INDIA,SR,INDIA,NR,3948.192
STEAM_COAL,2024,INDIA,SR,INDIA,SR,926.0
STEAM_COAL,2024,INDIA,SR,INDIA,NER,4706.492
STEAM_COAL,2024,INDIA,NER,INDIA,ER,3288.4224
STEAM_COAL,2024,INDIA,NER,INDIA,WR,4400.7624
STEAM_COAL,2024,INDIA,NER,INDIA,NR,4092.592
STEAM_COAL,2024,INDIA,NER,INDIA,SR,4706.492
STEAM_COAL,2024,INDIA,NER,INDIA,NER,926.0
STEAM_COAL,2025,INDIA,ER,INDIA,ER,797.2
STEAM_COAL,2025,INDIA,ER,INDIA,WR,3445.8624
STEAM_COAL,2025,INDIA,ER,INDIA,NR,3416.192
STEAM_COAL,2025,INDIA,ER,INDIA,SR,3695.292
STEAM_COAL,2025,INDIA,ER,INDIA,NER,3416.192
STEAM_COAL,2025,INDIA,WR,INDIA,ER,3190.4224
STEAM_COAL,2025,INDIA,WR,INDIA,WR,1054.7
STEAM_COAL,2025,INDIA,WR,INDIA,NR,2757.192
STEAM_COAL,2025,INDIA,WR,INDIA,SR,3078.8920000000003
STEAM_COAL,2025,INDIA,WR,INDIA,NER,4273.092
STEAM_COAL,2025,INDIA,NR,INDIA,ER,3288.4224
STEAM_COAL,2025,INDIA,NR,INDIA,WR,2884.8624
STEAM_COAL,2025,INDIA,NR,INDIA,NR,926.0
STEAM_COAL,2025,INDIA,NR,INDIA,SR,3948.192
STEAM_COAL,2025,INDIA,NR,INDIA,NER,4092.592
STEAM_COAL,2025,INDIA,SR,INDIA,ER,3567.5224
STEAM_COAL,2025,INDIA,SR,INDIA,WR,3206.5624000000003
STEAM_COAL,2025,INDIA,SR,INDIA,NR,3948.192
STEAM_COAL,2025,INDIA,SR,INDIA,SR,926.0
STEAM_COAL,2025,INDIA,SR,INDIA,NER,4706.492
STEAM_COAL,2025,INDIA,NER,INDIA,ER,3288.4224
STEAM_COAL,2025,INDIA,NER,INDIA,WR,4400.7624
STEAM_COAL,2025,INDIA,NER,INDIA,NR,4092.592
STEAM_COAL,2025,INDIA,NER,INDIA,SR,4706.492
STEAM_COAL,2025,INDIA,NER,INDIA,NER,926.0
STEAM_COAL,2026,INDIA,ER,INDIA,ER,797.2
STEAM_COAL,2026,INDIA,ER,INDIA,WR,3445.8624
STEAM_COAL,2026,INDIA,ER,INDIA,NR,3416.192
STEAM_COAL,2026,INDIA,ER,INDIA,SR,3695.292
STEAM_COAL,2026,INDIA,ER,INDIA,NER,3416.192
STEAM_COAL,2026,INDIA,WR,INDIA,ER,3190.4224
STEAM_COAL,2026,INDIA,WR,INDIA,WR,1054.7
STEAM_COAL,2026,INDIA,WR,INDIA,NR,2757.192
STEAM_COAL,2026,INDIA,WR,INDIA,SR,3078.8920000000003
STEAM_COAL,2026,INDIA,WR,INDIA,NER,4273.092
STEAM_COAL,2026,INDIA,NR,INDIA,ER,3288.4224
STEAM_COAL,2026,INDIA,NR,INDIA,WR,2884.8624
STEAM_COAL,2026,INDIA,NR,INDIA,NR,926.0
STEAM_COAL,2026,INDIA,NR,INDIA,SR,3948.192
STEAM_COAL,2026,INDIA,NR,INDIA,NER,4092.592
STEAM_COAL,2026,INDIA,SR,INDIA,ER,3567.5224
STEAM_COAL,2026,INDIA,SR,INDIA,WR,3206.5624000000003
STEAM_COAL,2026,INDIA,SR,INDIA,NR,3948.192
STEAM_COAL,2026,INDIA,SR,INDIA,SR,926.0
STEAM_COAL,2026,INDIA,SR,INDIA,NER,4706.492
STEAM_COAL,2026,INDIA,NER,INDIA,ER,3288.4224
STEAM_COAL,2026,INDIA,NER,INDIA,WR,4400.7624
STEAM_COAL,2026,INDIA,NER,INDIA,NR,4092.592
