EnergyStorTech,Year,ModelGeography,SubGeography1,MinStorCapacity
FOURHR_BATTERY,2021,INDIA,ER,0.0
FOURHR_BATTERY,2021,INDIA,NER,0.0
FOURHR_BATTERY,2021,INDIA,NR,0.0
FOURHR_BATTERY,2021,INDIA,SR,0.0
FOURHR_BATTERY,2021,INDIA,WR,0.0
FOURHR_BATTERY,2022,INDIA,ER,0.0
FOURHR_BATTERY,2022,INDIA,NER,0.0
FOURHR_BATTERY,2022,INDIA,NR,0.0
FOURHR_BATTERY,2022,INDIA,SR,0.0
FOURHR_BATTERY,2022,INDIA,WR,0.0
FOURHR_BATTERY,2023,INDIA,ER,0.0
FOURHR_BATTERY,2023,INDIA,NER,0.0
FOURHR_BATTERY,2023,INDIA,NR,0.0
FOURHR_BATTERY,2023,INDIA,SR,0.0
FOURHR_BATTERY,2023,INDIA,WR,0.0
FOURHR_BATTERY,2024,INDIA,ER,0.0
FOURHR_BATTERY,2024,INDIA,NER,0.0
FOURHR_BATTERY,2024,INDIA,NR,0.0
FOURHR_BATTERY,2024,INDIA,SR,0.0
FOURHR_BATTERY,2024,INDIA,WR,0.0
FOURHR_BATTERY,2025,INDIA,ER,0.0
FOURHR_BATTERY,2025,INDIA,NER,0.0
FOURHR_BATTERY,2025,INDIA,NR,0.0
FOURHR_BATTERY,2025,INDIA,SR,0.0
FOURHR_BATTERY,2025,INDIA,WR,0.0
FOURHR_BATTERY,2026,INDIA,ER,0.0
FOURHR_BATTERY,2026,INDIA,NER,0.0
FOURHR_BATTERY,2026,INDIA,NR,0.0
FOURHR_BATTERY,2026,INDIA,SR,0.0
FOURHR_BATTERY,2026,INDIA,WR,0.0
FOURHR_BATTERY,2027,INDIA,ER,0.0
FOURHR_BATTERY,2027,INDIA,NER,0.0
FOURHR_BATTERY,2027,INDIA,NR,0.0
FOURHR_BATTERY,2027,INDIA,SR,0.0
FOURHR_BATTERY,2027,INDIA,WR,0.0
FOURHR_BATTERY,2028,INDIA,ER,0.0
FOURHR_BATTERY,2028,INDIA,NER,0.0
FOURHR_BATTERY,2028,INDIA,NR,0.0
FOURHR_BATTERY,2028,INDIA,SR,0.0
FOURHR_BATTERY,2028,INDIA,WR,0.0
FOURHR_BATTERY,2029,INDIA,ER,0.0
FOURHR_BATTERY,2029,INDIA,NER,0.0
FOURHR_BATTERY,2029,INDIA,NR,0.0
FOURHR_BATTERY,2029,INDIA,SR,0.0
FOURHR_BATTERY,2029,INDIA,WR,0.0
FOURHR_BATTERY,2030,INDIA,ER,0.0
FOURHR_BATTERY,2030,INDIA,NER,0.0
FOURHR_BATTERY,2030,INDIA,NR,0.0
FOURHR_BATTERY,2030,INDIA,SR,0.0
FOURHR_BATTERY,2030,INDIA,WR,0.0
FOURHR_BATTERY,2031,INDIA,ER,0.0
FOURHR_BATTERY,2031,INDIA,NER,0.0
FOURHR_BATTERY,2031,INDIA,NR,0.0
FOURHR_BATTERY,2031,INDIA,SR,0.0
FOURHR_BATTERY,2031,INDIA,WR,0.0
SIXHR_BATTERY,2021,INDIA,ER,0.0
SIXHR_BATTERY,2021,INDIA,NER,0.0
SIXHR_BATTERY,2021,INDIA,NR,0.0
SIXHR_BATTERY,2021,INDIA,SR,0.0
