EnergyConvTech,Year,ModelGeography,SubGeography1,MaxCapacity
EG_CCGT,2021,INDIA,ER,0.0
EG_CCGT,2021,INDIA,NER,0.0
EG_CCGT,2021,INDIA,NR,0.0
EG_CCGT,2021,INDIA,SR,0.0
EG_CCGT,2021,INDIA,WR,0.0
EG_CCGT,2022,INDIA,ER,0.0
EG_CCGT,2022,INDIA,NER,0.056884948
EG_CCGT,2022,INDIA,NR,0.0
EG_CCGT,2022,INDIA,SR,0.37
EG_CCGT,2022,INDIA,WR,0.0
EG_CCGT,2023,INDIA,ER,0.024385613
EG_CCGT,2023,INDIA,NER,0.063144919
EG_CCGT,2023,INDIA,NR,0.19897240200000002
EG_CCGT,2023,INDIA,SR,0.225481024
EG_CCGT,2023,INDIA,WR,0.43801604200000005
EG_CCGT,2024,INDIA,ER,0.024385613
EG_CCGT,2024,INDIA,NER,0.063144919
EG_CCGT,2024,INDIA,NR,0.19897240200000002
EG_CCGT,2024,INDIA,SR,0.225481024
EG_CCGT,2024,INDIA,WR,0.43801604200000005
EG_CCGT,2025,INDIA,ER,0.024385613
EG_CCGT,2025,INDIA,NER,0.063144919
EG_CCGT,2025,INDIA,NR,0.19897240200000002
EG_CCGT,2025,INDIA,SR,0.225481024
EG_CCGT,2025,INDIA,WR,0.43801604200000005
EG_CCGT,2026,INDIA,ER,0.024385613
EG_CCGT,2026,INDIA,NER,0.063144919
EG_CCGT,2026,INDIA,NR,0.19897240200000002
EG_CCGT,2026,INDIA,SR,0.225481024
EG_CCGT,2026,INDIA,WR,0.43801604200000005
EG_CCGT,2027,INDIA,ER,0.024385613
EG_CCGT,2027,INDIA,NER,0.063144919
EG_CCGT,2027,INDIA,NR,0.19897240200000002
EG_CCGT,2027,INDIA,SR,0.225481024
EG_CCGT,2027,INDIA,WR,0.43801604200000005
EG_CCGT,2028,INDIA,ER,0.024385613
EG_CCGT,2028,INDIA,NER,0.063144919
EG_CCGT,2028,INDIA,NR,0.19897240200000002
EG_CCGT,2028,INDIA,SR,0.225481024
EG_CCGT,2028,INDIA,WR,0.43801604200000005
EG_CCGT,2029,INDIA,ER,0.024385613
EG_CCGT,2029,INDIA,NER,0.063144919
EG_CCGT,2029,INDIA,NR,0.19897240200000002
EG_CCGT,2029,INDIA,SR,0.225481024
EG_CCGT,2029,INDIA,WR,0.43801604200000005
EG_CCGT,2030,INDIA,ER,0.024385613
EG_CCGT,2030,INDIA,NER,0.063144919
EG_CCGT,2030,INDIA,NR,0.19897240200000002
EG_CCGT,2030,INDIA,SR,0.225481024
