EnergyCarrier,Year,ModelGeographySrc,SubGeography1Src,ModelGeographyDest,SubGeography1Dest,TransitLoss
COKING_COAL,2021,INDIA,ER,INDIA,ER,0.002
COKING_COAL,2022,INDIA,ER,INDIA,ER,0.002
COKING_COAL,2023,INDIA,ER,INDIA,ER,0.002
COKING_COAL,2024,INDIA,ER,INDIA,ER,0.002
COKING_COAL,2025,INDIA,ER,INDIA,ER,0.002
COKING_COAL,2026,INDIA,ER,INDIA,ER,0.002
COKING_COAL,2027,INDIA,ER,INDIA,ER,0.002
COKING_COAL,2028,INDIA,ER,INDIA,ER,0.002
COKING_COAL,2029,INDIA,ER,INDIA,ER,0.002
COKING_COAL,2030,INDIA,ER,INDIA,ER,0.002
COKING_COAL,2031,INDIA,ER,INDIA,ER,0.002
COKING_COAL,2021,INDIA,ER,INDIA,WR,0.008
COKING_COAL,2022,INDIA,ER,INDIA,WR,0.008
COKING_COAL,2023,INDIA,ER,INDIA,WR,0.008
COKING_COAL,2024,INDIA,ER,INDIA,WR,0.008
COKING_COAL,2025,INDIA,ER,INDIA,WR,0.008
COKING_COAL,2026,INDIA,ER,INDIA,WR,0.008
COKING_COAL,2027,INDIA,ER,INDIA,WR,0.008
COKING_COAL,2028,INDIA,ER,INDIA,WR,0.008
COKING_COAL,2029,INDIA,ER,INDIA,WR,0.008
COKING_COAL,2030,INDIA,ER,INDIA,WR,0.008
COKING_COAL,2031,INDIA,ER,INDIA,WR,0.008
COKING_COAL,2021,INDIA,ER,INDIA,NR,0.008
COKING_COAL,2022,INDIA,ER,INDIA,NR,0.008
COKING_COAL,2023,INDIA,ER,INDIA,NR,0.008
COKING_COAL,2024,INDIA,ER,INDIA,NR,0.008
COKING_COAL,2025,INDIA,ER,INDIA,NR,0.008
COKING_COAL,2026,INDIA,ER,INDIA,NR,0.008
COKING_COAL,2027,INDIA,ER,INDIA,NR,0.008
COKING_COAL,2028,INDIA,ER,INDIA,NR,0.008
COKING_COAL,2029,INDIA,ER,INDIA,NR,0.008
COKING_COAL,2030,INDIA,ER,INDIA,NR,0.008
COKING_COAL,2031,INDIA,ER,INDIA,NR,0.008
COKING_COAL,2021,INDIA,ER,INDIA,SR,0.008
COKING_COAL,2022,INDIA,ER,INDIA,SR,0.008
COKING_COAL,2023,INDIA,ER,INDIA,SR,0.008
COKING_COAL,2024,INDIA,ER,INDIA,SR,0.008
COKING_COAL,2025,INDIA,ER,INDIA,SR,0.008
COKING_COAL,2026,INDIA,ER,INDIA,SR,0.008
COKING_COAL,2027,INDIA,ER,INDIA,SR,0.008
COKING_COAL,2028,INDIA,ER,INDIA,SR,0.008
COKING_COAL,2029,INDIA,ER,INDIA,SR,0.008
COKING_COAL,2030,INDIA,ER,INDIA,SR,0.008
COKING_COAL,2031,INDIA,ER,INDIA,SR,0.008
COKING_COAL,2021,INDIA,ER,INDIA,NER,0.008
COKING_COAL,2022,INDIA,ER,INDIA,NER,0.008
COKING_COAL,2023,INDIA,ER,INDIA,NER,0.008
COKING_COAL,2024,INDIA,ER,INDIA,NER,0.008
COKING_COAL,2025,INDIA,ER,INDIA,NER,0.008
COKING_COAL,2026,INDIA,ER,INDIA,NER,0.008
COKING_COAL,2027,INDIA,ER,INDIA,NER,0.008
COKING_COAL,2028,INDIA,ER,INDIA,NER,0.008
COKING_COAL,2029,INDIA,ER,INDIA,NER,0.008
COKING_COAL,2030,INDIA,ER,INDIA,NER,0.008
COKING_COAL,2031,INDIA,ER,INDIA,NER,0.008
COKING_COAL,2021,INDIA,WR,INDIA,ER,0.008
COKING_COAL,2022,INDIA,WR,INDIA,ER,0.008
COKING_COAL,2023,INDIA,WR,INDIA,ER,0.008
COKING_COAL,2024,INDIA,WR,INDIA,ER,0.008
COKING_COAL,2025,INDIA,WR,INDIA,ER,0.008
COKING_COAL,2026,INDIA,WR,INDIA,ER,0.008
COKING_COAL,2027,INDIA,WR,INDIA,ER,0.008
COKING_COAL,2028,INDIA,WR,INDIA,ER,0.008
COKING_COAL,2029,INDIA,WR,INDIA,ER,0.008
COKING_COAL,2030,INDIA,WR,INDIA,ER,0.008
COKING_COAL,2031,INDIA,WR,INDIA,ER,0.008
COKING_COAL,2021,INDIA,WR,INDIA,WR,0.002
COKING_COAL,2022,INDIA,WR,INDIA,WR,0.002
COKING_COAL,2023,INDIA,WR,INDIA,WR,0.002
COKING_COAL,2024,INDIA,WR,INDIA,WR,0.002
COKING_COAL,2025,INDIA,WR,INDIA,WR,0.002
COKING_COAL,2026,INDIA,WR,INDIA,WR,0.002
COKING_COAL,2027,INDIA,WR,INDIA,WR,0.002
COKING_COAL,2028,INDIA,WR,INDIA,WR,0.002
COKING_COAL,2029,INDIA,WR,INDIA,WR,0.002
COKING_COAL,2030,INDIA,WR,INDIA,WR,0.002
COKING_COAL,2031,INDIA,WR,INDIA,WR,0.002
COKING_COAL,2021,INDIA,WR,INDIA,NR,0.008
COKING_COAL,2022,INDIA,WR,INDIA,NR,0.008
COKING_COAL,2023,INDIA,WR,INDIA,NR,0.008
COKING_COAL,2024,INDIA,WR,INDIA,NR,0.008
COKING_COAL,2025,INDIA,WR,INDIA,NR,0.008
COKING_COAL,2026,INDIA,WR,INDIA,NR,0.008
COKING_COAL,2027,INDIA,WR,INDIA,NR,0.008
COKING_COAL,2028,INDIA,WR,INDIA,NR,0.008
COKING_COAL,2029,INDIA,WR,INDIA,NR,0.008
COKING_COAL,2030,INDIA,WR,INDIA,NR,0.008
COKING_COAL,2031,INDIA,WR,INDIA,NR,0.008
COKING_COAL,2021,INDIA,WR,INDIA,SR,0.008
COKING_COAL,2022,INDIA,WR,INDIA,SR,0.008
COKING_COAL,2023,INDIA,WR,INDIA,SR,0.008
COKING_COAL,2024,INDIA,WR,INDIA,SR,0.008
COKING_COAL,2025,INDIA,WR,INDIA,SR,0.008
COKING_COAL,2026,INDIA,WR,INDIA,SR,0.008
COKING_COAL,2027,INDIA,WR,INDIA,SR,0.008
COKING_COAL,2028,INDIA,WR,INDIA,SR,0.008
COKING_COAL,2029,INDIA,WR,INDIA,SR,0.008
COKING_COAL,2030,INDIA,WR,INDIA,SR,0.008
COKING_COAL,2031,INDIA,WR,INDIA,SR,0.008
COKING_COAL,2021,INDIA,WR,INDIA,NER,0.008
COKING_COAL,2022,INDIA,WR,INDIA,NER,0.008
COKING_COAL,2023,INDIA,WR,INDIA,NER,0.008
COKING_COAL,2024,INDIA,WR,INDIA,NER,0.008
COKING_COAL,2025,INDIA,WR,INDIA,NER,0.008
COKING_COAL,2026,INDIA,WR,INDIA,NER,0.008
COKING_COAL,2027,INDIA,WR,INDIA,NER,0.008
COKING_COAL,2028,INDIA,WR,INDIA,NER,0.008
COKING_COAL,2029,INDIA,WR,INDIA,NER,0.008
COKING_COAL,2030,INDIA,WR,INDIA,NER,0.008
COKING_COAL,2031,INDIA,WR,INDIA,NER,0.008
COKING_COAL,2021,INDIA,NR,INDIA,ER,0.008
COKING_COAL,2022,INDIA,NR,INDIA,ER,0.008
COKING_COAL,2023,INDIA,NR,INDIA,ER,0.008
COKING_COAL,2024,INDIA,NR,INDIA,ER,0.008
COKING_COAL,2025,INDIA,NR,INDIA,ER,0.008
COKING_COAL,2026,INDIA,NR,INDIA,ER,0.008
COKING_COAL,2027,INDIA,NR,INDIA,ER,0.008
COKING_COAL,2028,INDIA,NR,INDIA,ER,0.008
COKING_COAL,2029,INDIA,NR,INDIA,ER,0.008
COKING_COAL,2030,INDIA,NR,INDIA,ER,0.008
COKING_COAL,2031,INDIA,NR,INDIA,ER,0.008
COKING_COAL,2021,INDIA,NR,INDIA,WR,0.008
COKING_COAL,2022,INDIA,NR,INDIA,WR,0.008
COKING_COAL,2023,INDIA,NR,INDIA,WR,0.008
COKING_COAL,2024,INDIA,NR,INDIA,WR,0.008
COKING_COAL,2025,INDIA,NR,INDIA,WR,0.008
COKING_COAL,2026,INDIA,NR,INDIA,WR,0.008
COKING_COAL,2027,INDIA,NR,INDIA,WR,0.008
COKING_COAL,2028,INDIA,NR,INDIA,WR,0.008
COKING_COAL,2029,INDIA,NR,INDIA,WR,0.008
COKING_COAL,2030,INDIA,NR,INDIA,WR,0.008
COKING_COAL,2031,INDIA,NR,INDIA,WR,0.008
COKING_COAL,2021,INDIA,NR,INDIA,NR,0.002
COKING_COAL,2022,INDIA,NR,INDIA,NR,0.002
COKING_COAL,2023,INDIA,NR,INDIA,NR,0.002
COKING_COAL,2024,INDIA,NR,INDIA,NR,0.002
COKING_COAL,2025,INDIA,NR,INDIA,NR,0.002
