InstYear,EnergyConvTechFiltered,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,OutputFromECTiyUsingImpInput
2020,EG_COAL,2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,24.902826939941445
2020,EG_COAL,2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,132.66530805000002
2020,EG_COAL,2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,MORN,INDIA,ER,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,MORN,INDIA,WR,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,MORN,INDIA,NR,61.35243795555015
2020,EG_COAL,2021,SUMMER,ALLDAYS,MORN,INDIA,SR,132.66530805000002
2020,EG_COAL,2021,SUMMER,ALLDAYS,MORN,INDIA,NER,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,MID,INDIA,ER,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,MID,INDIA,WR,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,MID,INDIA,NR,51.5332801033452
2020,EG_COAL,2021,SUMMER,ALLDAYS,MID,INDIA,SR,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,MID,INDIA,NER,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,65.83550805000002
2020,EG_COAL,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,38.56130347849465
2020,EG_COAL,2021,SUMMER,ALLDAYS,EVENING,INDIA,SR,176.8870774
2020,EG_COAL,2021,SUMMER,ALLDAYS,EVENING,INDIA,NER,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,NIGHT,INDIA,ER,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,NIGHT,INDIA,WR,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,NIGHT,INDIA,NR,24.319931375828975
2020,EG_COAL,2021,SUMMER,ALLDAYS,NIGHT,INDIA,SR,353.7741548
2020,EG_COAL,2021,SUMMER,ALLDAYS,NIGHT,INDIA,NER,0.0
2020,EG_COAL,2021,MONSOON,ALLDAYS,EARLY,INDIA,ER,0.0
