Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,EnergyDemand
2021,INDIA,ER,BR,RURAL,Q1,95.72382623889048
2021,INDIA,ER,BR,RURAL,Q2,85.68175317826038
2021,INDIA,ER,BR,RURAL,Q3,71.21309005425995
2021,INDIA,ER,BR,RURAL,Q4,57.041544789815106
2021,INDIA,ER,BR,RURAL,Q5,38.1172996086119
2021,INDIA,ER,BR,URBAN,Q1,5.561915218532326
2021,INDIA,ER,BR,URBAN,Q2,1.7521378215753924
2021,INDIA,ER,BR,URBAN,Q3,0.6666970164593627
2021,INDIA,ER,BR,URBAN,Q4,0.2026022964146729
2021,INDIA,ER,BR,URBAN,Q5,0.0
2021,INDIA,ER,JH,RURAL,Q1,28.0245603524372
2021,INDIA,ER,JH,RURAL,Q2,32.85984582482567
2021,INDIA,ER,JH,RURAL,Q3,26.58236645628054
2021,INDIA,ER,JH,RURAL,Q4,22.83072991547651
2021,INDIA,ER,JH,RURAL,Q5,14.574141264946627
2021,INDIA,ER,JH,URBAN,Q1,7.86710478848816
2021,INDIA,ER,JH,URBAN,Q2,6.479624369769294
2021,INDIA,ER,JH,URBAN,Q3,3.0465255861232667
2021,INDIA,ER,JH,URBAN,Q4,1.6413401442703506
2021,INDIA,ER,JH,URBAN,Q5,0.6596212877135247
2021,INDIA,ER,OD,RURAL,Q1,40.59791198837136
2021,INDIA,ER,OD,RURAL,Q2,38.380257323539055
2021,INDIA,ER,OD,RURAL,Q3,34.77809745796732
2021,INDIA,ER,OD,RURAL,Q4,28.97208658295923
2021,INDIA,ER,OD,RURAL,Q5,18.585905955952377
2021,INDIA,ER,OD,URBAN,Q1,7.473064105157074
2021,INDIA,ER,OD,URBAN,Q2,4.311423417822291
2021,INDIA,ER,OD,URBAN,Q3,1.4076601457363238
2021,INDIA,ER,OD,URBAN,Q4,0.3677288609162508
2021,INDIA,ER,OD,URBAN,Q5,0.05846270298224741
2021,INDIA,ER,WB,RURAL,Q1,66.88714380562487
2021,INDIA,ER,WB,RURAL,Q2,60.386236894227146
2021,INDIA,ER,WB,RURAL,Q3,54.332803499734325
2021,INDIA,ER,WB,RURAL,Q4,53.82095273036511
2021,INDIA,ER,WB,RURAL,Q5,34.8154076168698
2021,INDIA,ER,WB,URBAN,Q1,27.927511884803696
2021,INDIA,ER,WB,URBAN,Q2,13.642318699091577
2021,INDIA,ER,WB,URBAN,Q3,5.601816705361801
2021,INDIA,ER,WB,URBAN,Q4,2.684941211447006
2021,INDIA,ER,WB,URBAN,Q5,0.0
2021,INDIA,WR,CG,RURAL,Q1,21.560099784376344
2021,INDIA,WR,CG,RURAL,Q2,21.019294175735805
2021,INDIA,WR,CG,RURAL,Q3,15.13926247137074
2021,INDIA,WR,CG,RURAL,Q4,16.118850613592972
2021,INDIA,WR,CG,RURAL,Q5,12.766291100345702
2021,INDIA,WR,CG,URBAN,Q1,4.802050466635934
2021,INDIA,WR,CG,URBAN,Q2,2.0359722102149957
2021,INDIA,WR,CG,URBAN,Q3,1.121383100756031
2021,INDIA,WR,CG,URBAN,Q4,0.43759122059829453
2021,INDIA,WR,CG,URBAN,Q5,0.051898436290992646
2021,INDIA,WR,GJ,RURAL,Q1,24.734277649905735
2021,INDIA,WR,GJ,RURAL,Q2,23.23897049551146
2021,INDIA,WR,GJ,RURAL,Q3,19.329923106484912
2021,INDIA,WR,GJ,RURAL,Q4,17.78209839830238
2021,INDIA,WR,GJ,RURAL,Q5,11.925151751117513
2021,INDIA,WR,GJ,URBAN,Q1,10.057548683831692
2021,INDIA,WR,GJ,URBAN,Q2,3.5068001064341123
2021,INDIA,WR,GJ,URBAN,Q3,1.2712622353283283
2021,INDIA,WR,GJ,URBAN,Q4,0.3503638164058361
2021,INDIA,WR,GJ,URBAN,Q5,0.07400100260236778
2021,INDIA,WR,MP,RURAL,Q1,52.33815712325168
2021,INDIA,WR,MP,RURAL,Q2,48.86455612100271
2021,INDIA,WR,MP,RURAL,Q3,50.36054339855262
2021,INDIA,WR,MP,RURAL,Q4,38.778300482386754
2021,INDIA,WR,MP,RURAL,Q5,28.686088266943006
2021,INDIA,WR,MP,URBAN,Q1,8.72208830110997
2021,INDIA,WR,MP,URBAN,Q2,5.024457270428396
2021,INDIA,WR,MP,URBAN,Q3,2.446201128189178
2021,INDIA,WR,MP,URBAN,Q4,0.7209226923972298
2021,INDIA,WR,MP,URBAN,Q5,0.0791719931391678
2021,INDIA,WR,MH,RURAL,Q1,49.67907356745126
2021,INDIA,WR,MH,RURAL,Q2,35.34348870948281
2021,INDIA,WR,MH,RURAL,Q3,24.951579420935193
2021,INDIA,WR,MH,RURAL,Q4,22.228276925277424
2021,INDIA,WR,MH,RURAL,Q5,7.1263509171806225
2021,INDIA,WR,MH,URBAN,Q1,9.162773476598803
2021,INDIA,WR,MH,URBAN,Q2,1.961716687630922
2021,INDIA,WR,MH,URBAN,Q3,0.5387918321061981
2021,INDIA,WR,MH,URBAN,Q4,0.05180940710801325
2021,INDIA,WR,MH,URBAN,Q5,0.0
2021,INDIA,WR,GA,RURAL,Q1,0.17647040146290505
2021,INDIA,WR,GA,RURAL,Q2,0.1526760260801039
2021,INDIA,WR,GA,RURAL,Q3,0.05954193831521634
2021,INDIA,WR,GA,RURAL,Q4,0.03171970400595067
2021,INDIA,WR,GA,RURAL,Q5,0.0
2021,INDIA,WR,GA,URBAN,Q1,0.010074694421999965
2021,INDIA,WR,GA,URBAN,Q2,0.0
2021,INDIA,WR,GA,URBAN,Q3,0.0
2021,INDIA,WR,GA,URBAN,Q4,0.0
2021,INDIA,WR,GA,URBAN,Q5,0.0
2021,INDIA,WR,UT,RURAL,Q1,0.2514930300408706
2021,INDIA,WR,UT,RURAL,Q2,0.11611135259714375
2021,INDIA,WR,UT,RURAL,Q3,0.049250613925161064
2021,INDIA,WR,UT,RURAL,Q4,0.021451721675550137
2021,INDIA,WR,UT,RURAL,Q5,0.00445136199910029
2021,INDIA,WR,UT,URBAN,Q1,0.2681511559586633
2021,INDIA,WR,UT,URBAN,Q2,0.004184438396946889
2021,INDIA,WR,UT,URBAN,Q3,0.0
2021,INDIA,WR,UT,URBAN,Q4,0.0
2021,INDIA,WR,UT,URBAN,Q5,0.0
2021,INDIA,NR,DL,RURAL,Q1,0.0
2021,INDIA,NR,DL,RURAL,Q2,0.0
2021,INDIA,NR,DL,RURAL,Q3,0.0
2021,INDIA,NR,DL,RURAL,Q4,0.0
2021,INDIA,NR,DL,RURAL,Q5,0.0
2021,INDIA,NR,DL,URBAN,Q1,1.174955674934626
2021,INDIA,NR,DL,URBAN,Q2,0.5257521125264691
2021,INDIA,NR,DL,URBAN,Q3,0.190417527872904
2021,INDIA,NR,DL,URBAN,Q4,0.0
2021,INDIA,NR,DL,URBAN,Q5,0.0
2021,INDIA,NR,HR,RURAL,Q1,17.106877636389736
