Year,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,EnergyService,ServiceTech,EfficiencyLevelName,EnergyCarrier,SpecificEnergyConsumption
2022,RURAL,INDIA,SR,AP,RES_LIGHT,LIGHT_ELEC,INCAND,ELECTRICITY,0.00000006
2022,RURAL,INDIA,SR,AP,RES_LIGHT,LIGHT_ELEC,LED,ELECTRICITY,0.000000012
2022,RURAL,INDIA,SR,AP,RES_REF,FR_DIRECTCOOL,2STARDC,ELECTRICITY,5.0831E-08
2022,RURAL,INDIA,SR,AP,RES_REF,FR_DIRECTCOOL,3STARDC,ELECTRICITY,4.51657E-08
2022,RURAL,INDIA,SR,AP,RES_REF,FR_DIRECTCOOL,4STARDC,ELECTRICITY,3.97589E-08
2022,RURAL,INDIA,SR,AP,RES_REF,FR_FROSTFREE,2STARFF,ELECTRICITY,6.17129E-08
2022,RURAL,INDIA,SR,AP,RES_REF,FR_FROSTFREE,3STARFF,ELECTRICITY,5.37191E-08
2022,RURAL,INDIA,SR,AP,RES_REF,FR_FROSTFREE,4STARFF,ELECTRICITY,4.66593E-08
2022,RURAL,INDIA,SR,AP,RES_COOL,AC,3STARAC,ELECTRICITY,7.30144E-08
2022,RURAL,INDIA,SR,AP,RES_COOL,AC,4STARAC,ELECTRICITY,6.53194E-08
2022,RURAL,INDIA,SR,AP,RES_COOL,AC,5STARAC,ELECTRICITY,6.1978E-08
2022,RURAL,INDIA,SR,AP,RES_COOL,COOLER,AVGCOOLER,ELECTRICITY,0.00000018
2022,RURAL,INDIA,SR,AP,RES_COOL,FAN,AVGFAN,ELECTRICITY,0.00000007
2022,RURAL,INDIA,SR,AP,RES_TV,TV,AVGTV,ELECTRICITY,1.21337E-08
2022,RURAL,INDIA,SR,AP,RES_COOK,CK_LPG,AVGLPG,LPG,1.72414E-09
2022,RURAL,INDIA,SR,AP,RES_COOK,CK_INDUCTION,AVGINDUCTION,ELECTRICITY,3.38753E-07
2022,RURAL,INDIA,SR,AP,RES_COOK,CK_PNG,AVGPNG,NATGAS,1.72414E-09
2022,RURAL,INDIA,SR,AP,RES_COOK,CK_BIOGAS,AVGBIOGAS,BIOGAS,1.72414E-09
2022,RURAL,INDIA,SR,AP,RES_COOK,COOKSTOVE_SF,AVGSF,BIOMASS,7.14286E-09
2022,RURAL,INDIA,NER,AS,RES_LIGHT,LIGHT_ELEC,INCAND,ELECTRICITY,0.00000006
2022,RURAL,INDIA,NER,AS,RES_LIGHT,LIGHT_ELEC,LED,ELECTRICITY,0.000000012
2022,RURAL,INDIA,NER,AS,RES_REF,FR_DIRECTCOOL,2STARDC,ELECTRICITY,5.0831E-08
2022,RURAL,INDIA,NER,AS,RES_REF,FR_DIRECTCOOL,3STARDC,ELECTRICITY,4.51657E-08
2022,RURAL,INDIA,NER,AS,RES_REF,FR_DIRECTCOOL,4STARDC,ELECTRICITY,3.97589E-08
2022,RURAL,INDIA,NER,AS,RES_REF,FR_FROSTFREE,2STARFF,ELECTRICITY,6.17129E-08
2022,RURAL,INDIA,NER,AS,RES_REF,FR_FROSTFREE,3STARFF,ELECTRICITY,5.37191E-08
2022,RURAL,INDIA,NER,AS,RES_REF,FR_FROSTFREE,4STARFF,ELECTRICITY,4.66593E-08
2022,RURAL,INDIA,NER,AS,RES_COOL,AC,3STARAC,ELECTRICITY,7.30144E-08
2022,RURAL,INDIA,NER,AS,RES_COOL,AC,4STARAC,ELECTRICITY,6.53194E-08
2022,RURAL,INDIA,NER,AS,RES_COOL,AC,5STARAC,ELECTRICITY,6.1978E-08
2022,RURAL,INDIA,NER,AS,RES_COOL,COOLER,AVGCOOLER,ELECTRICITY,0.00000018
2022,RURAL,INDIA,NER,AS,RES_COOL,FAN,AVGFAN,ELECTRICITY,0.00000007
2022,RURAL,INDIA,NER,AS,RES_TV,TV,AVGTV,ELECTRICITY,1.21337E-08
2022,RURAL,INDIA,NER,AS,RES_COOK,CK_LPG,AVGLPG,LPG,1.72414E-09
2022,RURAL,INDIA,NER,AS,RES_COOK,CK_INDUCTION,AVGINDUCTION,ELECTRICITY,3.38753E-07
2022,RURAL,INDIA,NER,AS,RES_COOK,CK_PNG,AVGPNG,NATGAS,1.72414E-09
2022,RURAL,INDIA,NER,AS,RES_COOK,CK_BIOGAS,AVGBIOGAS,BIOGAS,1.72414E-09
2022,RURAL,INDIA,NER,AS,RES_COOK,COOKSTOVE_SF,AVGSF,BIOMASS,7.14286E-09
2022,RURAL,INDIA,ER,BR,RES_LIGHT,LIGHT_ELEC,INCAND,ELECTRICITY,0.00000006
2022,RURAL,INDIA,ER,BR,RES_LIGHT,LIGHT_ELEC,LED,ELECTRICITY,0.000000012
2022,RURAL,INDIA,ER,BR,RES_REF,FR_DIRECTCOOL,2STARDC,ELECTRICITY,5.0831E-08
2022,RURAL,INDIA,ER,BR,RES_REF,FR_DIRECTCOOL,3STARDC,ELECTRICITY,4.51657E-08
2022,RURAL,INDIA,ER,BR,RES_REF,FR_DIRECTCOOL,4STARDC,ELECTRICITY,3.97589E-08
