EnergyStorTech,Year,ModelGeography,SubGeography1,StorCapacityExistingInYear
PUMPED_STOR,2029,INDIA,ER,4.5
PUMPED_STOR,2029,INDIA,WR,2.4
PUMPED_STOR,2029,INDIA,NR,5.0
PUMPED_STOR,2029,INDIA,SR,12.528
PUMPED_STOR,2029,INDIA,NER,0.0
PUMPED_STOR,2030,INDIA,ER,4.5
PUMPED_STOR,2030,INDIA,WR,2.4
PUMPED_STOR,2030,INDIA,NR,5.0
PUMPED_STOR,2030,INDIA,SR,12.528
PUMPED_STOR,2030,INDIA,NER,0.0
PUMPED_STOR,2031,INDIA,ER,4.5
PUMPED_STOR,2031,INDIA,WR,2.4
PUMPED_STOR,2031,INDIA,NR,5.0
PUMPED_STOR,2031,INDIA,SR,12.528
PUMPED_STOR,2031,INDIA,NER,0.0
